Category: All categories

Day,btc: (Worldwide)
2015-08-01,37
2015-08-02,31
2015-08-03,35
2015-08-04,38
2015-08-05,37
2015-08-06,37
2015-08-07,37
2015-08-08,41
2015-08-09,36
2015-08-10,40
2015-08-11,46
2015-08-12,44
2015-08-13,39
2015-08-14,31
2015-08-15,28
2015-08-16,27
2015-08-17,29
2015-08-18,28
2015-08-19,30
2015-08-20,28
2015-08-21,27
2015-08-22,26
2015-08-23,23
2015-08-24,29
2015-08-25,28
2015-08-26,26
2015-08-27,23
2015-08-28,24
2015-08-29,21
2015-08-30,22
2015-08-31,24
2015-09-01,26
2015-09-02,46
2015-09-03,42
2015-09-04,35
2015-09-05,45
2015-09-06,41
2015-09-07,99
2015-09-08,100
2015-09-09,92
2015-09-10,70
2015-09-11,47
2015-09-12,42
2015-09-13,31
2015-09-14,31
2015-09-15,36
2015-09-16,45
2015-09-17,47
2015-09-18,45
2015-09-19,43
2015-09-20,43
2015-09-21,61
2015-09-22,63
2015-09-23,50
2015-09-24,47
2015-09-25,43
2015-09-26,42
2015-09-27,34
2015-09-28,34
2015-09-29,37
2015-09-30,34
2015-10-01,34
2015-10-02,41
2015-10-03,42
2015-10-04,38
2015-10-05,37
2015-10-06,34
2015-10-07,33
2015-10-08,32
2015-10-09,34
2015-10-10,33
2015-10-11,30
2015-10-12,35
2015-10-13,32
2015-10-14,33
2015-10-15,33
2015-10-16,31
2015-10-17,32
2015-10-18,26
2015-10-19,29
2015-10-20,29
2015-10-21,26
2015-10-22,26
2015-10-23,31
2015-10-24,28
2015-10-25,27
2015-10-26,29
2015-10-27,30
2015-10-28,29
2015-10-29,35
2015-10-30,47
2015-10-31,40
2015-11-01,33
2015-11-02,38
2015-11-03,44
2015-11-04,49
2015-11-05,42
2015-11-06,34
2015-11-07,30
2015-11-08,28
2015-11-09,29
2015-11-10,25
2015-11-11,31
2015-11-12,29
2015-11-13,25
2015-11-14,23
2015-11-15,23
2015-11-16,26
2015-11-17,25
2015-11-18,25
2015-11-19,26
2015-11-20,26
2015-11-21,25
2015-11-22,24
2015-11-23,25
2015-11-24,21
2015-11-25,20
2015-11-26,26
2015-11-27,25
2015-11-28,24
2015-11-29,26
2015-11-30,24
2015-12-01,27
2015-12-02,27
2015-12-03,24
2015-12-04,23
2015-12-05,25
2015-12-06,25
2015-12-07,27
2015-12-08,27
2015-12-09,32
2015-12-10,26
2015-12-11,29
2015-12-12,28
2015-12-13,26
2015-12-14,27
2015-12-15,29
2015-12-16,28
2015-12-17,30
2015-12-18,26
2015-12-19,29
2015-12-20,26
2015-12-21,26
2015-12-22,28
2015-12-23,26
2015-12-24,31
2015-12-25,24
2015-12-26,28
2015-12-27,25
2015-12-28,24
2015-12-29,25
2015-12-30,26
2015-12-31,24
2016-01-01,20
2016-01-02,22
2016-01-03,24
2016-01-04,24
2016-01-05,25
2016-01-06,25
2016-01-07,29
2016-01-08,27
2016-01-09,24
2016-01-10,19
2016-01-11,24
2016-01-12,24
2016-01-13,25
2016-01-14,23
2016-01-15,30
2016-01-16,29
2016-01-17,27
2016-01-18,30
2016-01-19,27
2016-01-20,28
2016-01-21,26
2016-01-22,28
2016-01-23,25
2016-01-24,22
2016-01-25,26
2016-01-26,25
2016-01-27,24
2016-01-28,25
2016-01-29,26
2016-01-30,22
2016-01-31,21
2016-02-01,24
2016-02-02,25
2016-02-03,23
2016-02-04,24
2016-02-05,23
2016-02-06,21
2016-02-07,21
2016-02-08,22
2016-02-09,24
2016-02-10,25
2016-02-11,25
2016-02-12,25
2016-02-13,23
2016-02-14,22
2016-02-15,24
2016-02-16,23
2016-02-17,24
2016-02-18,26
2016-02-19,23
2016-02-20,26
2016-02-21,24
2016-02-22,25
2016-02-23,26
2016-02-24,25
2016-02-25,24
2016-02-26,25
2016-02-27,25
2016-02-28,23
2016-02-29,24
2016-03-01,26
2016-03-02,24
2016-03-03,29
2016-03-04,23
2016-03-05,25
2016-03-06,22
2016-03-07,25
2016-03-08,23
2016-03-09,28
2016-03-10,27
2016-03-11,24
2016-03-12,22
2016-03-13,23
2016-03-14,24
2016-03-15,26
2016-03-16,26
2016-03-17,25
2016-03-18,27
2016-03-19,23
2016-03-20,22
2016-03-21,25
2016-03-22,27
2016-03-23,21
2016-03-24,24
2016-03-25,23
2016-03-26,23
2016-03-27,21
2016-03-28,28
2016-03-29,25
2016-03-30,24
2016-03-31,23
