Category: All categories

Day,btc: (Worldwide)
2017-05-01,8
2017-05-02,8
2017-05-03,9
2017-05-04,10
2017-05-05,10
2017-05-06,9
2017-05-07,7
2017-05-08,9
2017-05-09,11
2017-05-10,11
2017-05-11,11
2017-05-12,12
2017-05-13,10
2017-05-14,10
2017-05-15,10
2017-05-16,10
2017-05-17,10
2017-05-18,9
2017-05-19,12
2017-05-20,11
2017-05-21,11
2017-05-22,14
2017-05-23,14
2017-05-24,16
2017-05-25,22
2017-05-26,17
2017-05-27,17
2017-05-28,13
2017-05-29,13
2017-05-30,12
2017-05-31,12
2017-06-01,12
2017-06-02,12
2017-06-03,12
2017-06-04,10
2017-06-05,11
2017-06-06,16
2017-06-07,14
2017-06-08,14
2017-06-09,13
2017-06-10,13
2017-06-11,13
2017-06-12,16
2017-06-13,14
2017-06-14,16
2017-06-15,19
2017-06-16,15
2017-06-17,13
2017-06-18,12
2017-06-19,13
2017-06-20,15
2017-06-21,14
2017-06-22,13
2017-06-23,12
2017-06-24,12
2017-06-25,12
2017-06-26,13
2017-06-27,14
2017-06-28,12
2017-06-29,11
2017-06-30,11
2017-07-01,11
2017-07-02,11
2017-07-03,12
2017-07-04,11
2017-07-05,11
2017-07-06,10
2017-07-07,10
2017-07-08,11
2017-07-09,9
2017-07-10,11
2017-07-11,11
2017-07-12,11
2017-07-13,11
2017-07-14,11
2017-07-15,12
2017-07-16,13
2017-07-17,13
2017-07-18,15
2017-07-19,13
2017-07-20,16
2017-07-21,15
2017-07-22,13
2017-07-23,13
2017-07-24,12
2017-07-25,12
2017-07-26,13
2017-07-27,11
2017-07-28,13
2017-07-29,12
2017-07-30,12
2017-07-31,13
2017-08-01,17
2017-08-02,16
2017-08-03,13
2017-08-04,11
2017-08-05,15
2017-08-06,13
2017-08-07,13
2017-08-08,15
2017-08-09,14
2017-08-10,14
2017-08-11,14
2017-08-12,17
2017-08-13,19
2017-08-14,20
2017-08-15,19
2017-08-16,16
2017-08-17,17
2017-08-18,17
2017-08-19,16
2017-08-20,15
2017-08-21,14
2017-08-22,15
2017-08-23,16
2017-08-24,17
2017-08-25,16
2017-08-26,15
2017-08-27,15
2017-08-28,25
2017-08-29,23
2017-08-30,20
2017-08-31,19
2017-09-01,19
2017-09-02,18
2017-09-03,16
2017-09-04,18
2017-09-05,20
2017-09-06,18
2017-09-07,16
2017-09-08,15
2017-09-09,14
2017-09-10,13
2017-09-11,16
2017-09-12,15
2017-09-13,18
2017-09-14,22
2017-09-15,25
2017-09-16,18
2017-09-17,15
2017-09-18,17
2017-09-19,14
2017-09-20,14
2017-09-21,13
2017-09-22,13
2017-09-23,12
2017-09-24,10
2017-09-25,12
2017-09-26,12
2017-09-27,13
2017-09-28,14
2017-09-29,13
2017-09-30,12
2017-10-01,11
2017-10-02,13
2017-10-03,12
2017-10-04,15
2017-10-05,15
2017-10-06,12
2017-10-07,12
2017-10-08,12
2017-10-09,14
2017-10-10,15
2017-10-11,13
2017-10-12,20
2017-10-13,23
2017-10-14,16
2017-10-15,16
2017-10-16,15
2017-10-17,15
2017-10-18,15
2017-10-19,14
2017-10-20,17
2017-10-21,20
2017-10-22,15
2017-10-23,17
2017-10-24,18
2017-10-25,17
2017-10-26,16
2017-10-27,15
2017-10-28,15
2017-10-29,14
2017-10-30,17
2017-10-31,18
2017-11-01,21
2017-11-02,28
2017-11-03,25
2017-11-04,20
2017-11-05,20
2017-11-06,21
2017-11-07,19
2017-11-08,22
2017-11-09,21
2017-11-10,23
2017-11-11,22
2017-11-12,28
2017-11-13,25
2017-11-14,21
2017-11-15,22
2017-11-16,21
2017-11-17,24
2017-11-18,19
2017-11-19,19
2017-11-20,23
2017-11-21,23
2017-11-22,21
2017-11-23,19
2017-11-24,19
2017-11-25,20
2017-11-26,29
2017-11-27,32
2017-11-28,35
2017-11-29,60
2017-11-30,46
2017-12-01,35
2017-12-02,34
2017-12-03,31
2017-12-04,32
2017-12-05,33
2017-12-06,47
2017-12-07,100
2017-12-08,88
2017-12-09,51
2017-12-10,47
2017-12-11,60
2017-12-12,60
2017-12-13,55
2017-12-14,47
2017-12-15,43
2017-12-16,43
2017-12-17,51
2017-12-18,50
2017-12-19,56
2017-12-20,68
2017-12-21,59
2017-12-22,99
2017-12-23,67
2017-12-24,47
2017-12-25,43
2017-12-26,42
2017-12-27,41
2017-12-28,40
2017-12-29,39
2017-12-30,40
2017-12-31,36
