Category: All categories

Day,btc: (Worldwide)
2017-12-01,35
2017-12-02,34
2017-12-03,31
2017-12-04,32
2017-12-05,33
2017-12-06,47
2017-12-07,100
2017-12-08,88
2017-12-09,51
2017-12-10,47
2017-12-11,60
2017-12-12,60
2017-12-13,55
2017-12-14,47
2017-12-15,43
2017-12-16,43
2017-12-17,51
2017-12-18,50
2017-12-19,56
2017-12-20,68
2017-12-21,59
2017-12-22,99
2017-12-23,67
2017-12-24,47
2017-12-25,43
2017-12-26,42
2017-12-27,41
2017-12-28,40
2017-12-29,39
2017-12-30,40
2017-12-31,36
2018-01-01,33
2018-01-02,40
2018-01-03,42
2018-01-04,45
2018-01-05,42
2018-01-06,41
2018-01-07,38
2018-01-08,40
2018-01-09,38
2018-01-10,36
2018-01-11,38
2018-01-12,33
2018-01-13,32
2018-01-14,29
2018-01-15,29
2018-01-16,47
2018-01-17,63
2018-01-18,45
2018-01-19,32
2018-01-20,31
2018-01-21,27
2018-01-22,28
2018-01-23,28
2018-01-24,28
2018-01-25,25
2018-01-26,26
2018-01-27,24
2018-01-28,23
2018-01-29,23
2018-01-30,25
2018-01-31,26
2018-02-01,29
2018-02-02,37
2018-02-03,29
2018-02-04,26
2018-02-05,37
2018-02-06,53
2018-02-07,32
2018-02-08,28
2018-02-09,26
2018-02-10,23
2018-02-11,22
2018-02-12,22
2018-02-13,21
2018-02-14,21
2018-02-15,24
2018-02-16,21
2018-02-17,22
2018-02-18,22
2018-02-19,21
2018-02-20,21
2018-02-21,20
2018-02-22,20
2018-02-23,18
2018-02-24,16
2018-02-25,16
2018-02-26,17
2018-02-27,18
2018-02-28,16
2018-03-01,15
2018-03-02,16
2018-03-03,16
2018-03-04,14
2018-03-05,16
2018-03-06,15
2018-03-07,15
2018-03-08,15
2018-03-09,18
2018-03-10,15
2018-03-11,14
2018-03-12,15
2018-03-13,13
2018-03-14,16
2018-03-15,17
2018-03-16,15
2018-03-17,13
2018-03-18,16
2018-03-19,16
2018-03-20,17
2018-03-21,17
2018-03-22,13
2018-03-23,12
2018-03-24,11
2018-03-25,12
2018-03-26,13
2018-03-27,12
2018-03-28,13
2018-03-29,15
2018-03-30,16
2018-03-31,13
2018-04-01,14
2018-04-02,13
2018-04-03,14
2018-04-04,13
2018-04-05,13
2018-04-06,13
2018-04-07,11
2018-04-08,11
2018-04-09,13
2018-04-10,12
2018-04-11,12
2018-04-12,15
2018-04-13,15
2018-04-14,13
2018-04-15,13
2018-04-16,13
2018-04-17,13
2018-04-18,12
2018-04-19,12
2018-04-20,13
2018-04-21,14
2018-04-22,13
2018-04-23,13
2018-04-24,16
2018-04-25,15
2018-04-26,13
2018-04-27,14
2018-04-28,13
2018-04-29,12
2018-04-30,13
2018-05-01,13
2018-05-02,12
2018-05-03,13
2018-05-04,13
2018-05-05,14
2018-05-06,11
2018-05-07,12
2018-05-08,12
2018-05-09,12
2018-05-10,12
2018-05-11,13
2018-05-12,11
2018-05-13,11
2018-05-14,12
2018-05-15,11
2018-05-16,10
2018-05-17,11
2018-05-18,11
2018-05-19,10
2018-05-20,10
2018-05-21,11
2018-05-22,11
2018-05-23,13
2018-05-24,12
2018-05-25,10
2018-05-26,10
2018-05-27,10
2018-05-28,11
2018-05-29,10
2018-05-30,11
2018-05-31,10
2018-06-01,10
2018-06-02,10
2018-06-03,10
2018-06-04,10
2018-06-05,10
2018-06-06,10
2018-06-07,10
2018-06-08,9
2018-06-09,9
2018-06-10,12
2018-06-11,13
2018-06-12,11
2018-06-13,13
2018-06-14,12
2018-06-15,10
2018-06-16,10
2018-06-17,9
2018-06-18,10
2018-06-19,10
2018-06-20,10
2018-06-21,10
2018-06-22,10
2018-06-23,10
2018-06-24,11
2018-06-25,10
2018-06-26,10
2018-06-27,10
2018-06-28,9
2018-06-29,11
2018-06-30,10
2018-07-01,9
2018-07-02,10
2018-07-03,10
2018-07-04,10
2018-07-05,10
2018-07-06,9
2018-07-07,9
2018-07-08,9
2018-07-09,9
2018-07-10,9
2018-07-11,9
2018-07-12,10
2018-07-13,9
2018-07-14,8
2018-07-15,8
2018-07-16,10
2018-07-17,12
2018-07-18,13
2018-07-19,11
2018-07-20,11
2018-07-21,10
2018-07-22,10
2018-07-23,11
2018-07-24,15
2018-07-25,13
2018-07-26,12
2018-07-27,12
2018-07-28,11
2018-07-29,10
2018-07-30,11
2018-07-31,11
