Category: All categories

Day,btc: (Worldwide)
2016-03-01,27
2016-03-02,26
2016-03-03,30
2016-03-04,25
2016-03-05,26
2016-03-06,23
2016-03-07,26
2016-03-08,24
2016-03-09,30
2016-03-10,29
2016-03-11,25
2016-03-12,24
2016-03-13,24
2016-03-14,25
2016-03-15,28
2016-03-16,28
2016-03-17,27
2016-03-18,28
2016-03-19,25
2016-03-20,23
2016-03-21,27
2016-03-22,29
2016-03-23,22
2016-03-24,26
2016-03-25,24
2016-03-26,24
2016-03-27,22
2016-03-28,30
2016-03-29,27
2016-03-30,26
2016-03-31,24
2016-04-01,26
2016-04-02,24
2016-04-03,21
2016-04-04,24
2016-04-05,28
2016-04-06,25
2016-04-07,29
2016-04-08,29
2016-04-09,25
2016-04-10,24
2016-04-11,27
2016-04-12,27
2016-04-13,30
2016-04-14,35
2016-04-15,30
2016-04-16,25
2016-04-17,23
2016-04-18,26
2016-04-19,27
2016-04-20,26
2016-04-21,28
2016-04-22,30
2016-04-23,27
2016-04-24,29
2016-04-25,28
2016-04-26,32
2016-04-27,32
2016-04-28,28
2016-04-29,31
2016-04-30,32
2016-05-01,26
2016-05-02,30
2016-05-03,30
2016-05-04,29
2016-05-05,29
2016-05-06,32
2016-05-07,29
2016-05-08,27
2016-05-09,28
2016-05-10,26
2016-05-11,29
2016-05-12,28
2016-05-13,27
2016-05-14,28
2016-05-15,24
2016-05-16,29
2016-05-17,29
2016-05-18,29
2016-05-19,30
2016-05-20,30
2016-05-21,28
2016-05-22,26
2016-05-23,29
2016-05-24,29
2016-05-25,28
2016-05-26,28
2016-05-27,28
2016-05-28,35
2016-05-29,34
2016-05-30,35
2016-05-31,35
2016-06-01,35
2016-06-02,33
2016-06-03,38
2016-06-04,34
2016-06-05,33
2016-06-06,34
2016-06-07,38
2016-06-08,34
2016-06-09,38
2016-06-10,34
2016-06-11,36
2016-06-12,45
2016-06-13,52
2016-06-14,48
2016-06-15,42
2016-06-16,48
2016-06-17,49
2016-06-18,49
2016-06-19,45
2016-06-20,44
2016-06-21,46
2016-06-22,55
2016-06-23,61
2016-06-24,81
2016-06-25,59
2016-06-26,56
2016-06-27,59
2016-06-28,55
2016-06-29,49
2016-06-30,50
2016-07-01,48
2016-07-02,47
2016-07-03,43
2016-07-04,45
2016-07-05,43
2016-07-06,46
2016-07-07,46
2016-07-08,48
2016-07-09,57
2016-07-10,52
2016-07-11,52
2016-07-12,43
2016-07-13,40
2016-07-14,43
2016-07-15,35
2016-07-16,36
2016-07-17,32
2016-07-18,36
2016-07-19,36
2016-07-20,35
2016-07-21,34
2016-07-22,33
2016-07-23,30
2016-07-24,29
2016-07-25,33
2016-07-26,35
2016-07-27,33
2016-07-28,36
2016-07-29,32
2016-07-30,28
2016-07-31,32
2016-08-01,42
2016-08-02,50
2016-08-03,56
2016-08-04,56
2016-08-05,51
2016-08-06,51
2016-08-07,51
2016-08-08,98
2016-08-09,100
2016-08-10,80
2016-08-11,68
2016-08-12,64
2016-08-13,61
2016-08-14,57
2016-08-15,56
2016-08-16,62
2016-08-17,62
2016-08-18,63
2016-08-19,65
2016-08-20,65
2016-08-21,70
2016-08-22,66
2016-08-23,75
2016-08-24,66
2016-08-25,57
2016-08-26,68
2016-08-27,61
2016-08-28,56
2016-08-29,52
2016-08-30,53
2016-08-31,55
2016-09-01,59
2016-09-02,57
2016-09-03,58
2016-09-04,50
2016-09-05,55
2016-09-06,49
2016-09-07,50
2016-09-08,53
2016-09-09,54
2016-09-10,58
2016-09-11,49
2016-09-12,50
2016-09-13,48
2016-09-14,49
2016-09-15,49
2016-09-16,50
2016-09-17,49
2016-09-18,49
2016-09-19,55
2016-09-20,44
2016-09-21,46
2016-09-22,45
2016-09-23,42
2016-09-24,36
2016-09-25,33
2016-09-26,35
2016-09-27,33
2016-09-28,32
2016-09-29,32
2016-09-30,34
2016-10-01,36
2016-10-02,28
2016-10-03,32
2016-10-04,32
2016-10-05,31
2016-10-06,35
2016-10-07,35
2016-10-08,32
2016-10-09,31
2016-10-10,33
2016-10-11,35
2016-10-12,35
2016-10-13,31
2016-10-14,30
2016-10-15,28
2016-10-16,29
2016-10-17,29
2016-10-18,31
2016-10-19,28
2016-10-20,28
2016-10-21,30
2016-10-22,31
2016-10-23,29
2016-10-24,32
2016-10-25,31
2016-10-26,31
2016-10-27,33
2016-10-28,32
2016-10-29,35
2016-10-30,31
2016-10-31,34
