Category: All categories

Day,btc: (Worldwide)
2022-01-01,37
2022-01-02,37
2022-01-03,38
2022-01-04,37
2022-01-05,44
2022-01-06,58
2022-01-07,57
2022-01-08,51
2022-01-09,48
2022-01-10,50
2022-01-11,47
2022-01-12,46
2022-01-13,43
2022-01-14,40
2022-01-15,36
2022-01-16,35
2022-01-17,37
2022-01-18,38
2022-01-19,37
2022-01-20,39
2022-01-21,78
2022-01-22,100
2022-01-23,66
2022-01-24,99
2022-01-25,60
2022-01-26,57
2022-01-27,50
2022-01-28,48
2022-01-29,43
2022-01-30,41
2022-01-31,43
2022-02-01,43
2022-02-02,41
2022-02-03,41
2022-02-04,46
2022-02-05,49
2022-02-06,42
2022-02-07,51
2022-02-08,48
2022-02-09,42
2022-02-10,47
2022-02-11,44
2022-02-12,38
2022-02-13,37
2022-02-14,39
2022-02-15,40
2022-02-16,37
2022-02-17,39
2022-02-18,42
2022-02-19,37
2022-02-20,41
2022-02-21,45
2022-02-22,47
2022-02-23,40
2022-02-24,77
2022-02-25,46
2022-02-26,40
2022-02-27,41
2022-02-28,51
2022-03-01,57
2022-03-02,48
2022-03-03,43
2022-03-04,41
2022-03-05,39
2022-03-06,38
2022-03-07,43
2022-03-08,41
2022-03-09,47
2022-03-10,42
2022-03-11,40
2022-03-12,34
2022-03-13,33
2022-03-14,38
2022-03-15,34
2022-03-16,37
2022-03-17,35
2022-03-18,35
2022-03-19,35
2022-03-20,31
2022-03-21,33
2022-03-22,38
2022-03-23,34
2022-03-24,40
2022-03-25,39
2022-03-26,37
2022-03-27,36
2022-03-28,49
2022-03-29,40
2022-03-30,36
2022-03-31,37
