Category: All categories

Day,btc: (Worldwide)
2016-10-01,22
2016-10-02,17
2016-10-03,20
2016-10-04,20
2016-10-05,19
2016-10-06,21
2016-10-07,22
2016-10-08,20
2016-10-09,19
2016-10-10,20
2016-10-11,21
2016-10-12,21
2016-10-13,19
2016-10-14,18
2016-10-15,17
2016-10-16,17
2016-10-17,18
2016-10-18,19
2016-10-19,17
2016-10-20,17
2016-10-21,18
2016-10-22,19
2016-10-23,18
2016-10-24,20
2016-10-25,19
2016-10-26,19
2016-10-27,20
2016-10-28,20
2016-10-29,21
2016-10-30,19
2016-10-31,21
2016-11-01,24
2016-11-02,22
2016-11-03,21
2016-11-04,20
2016-11-05,19
2016-11-06,16
2016-11-07,21
2016-11-08,21
2016-11-09,24
2016-11-10,22
2016-11-11,22
2016-11-12,18
2016-11-13,21
2016-11-14,20
2016-11-15,22
2016-11-16,21
2016-11-17,21
2016-11-18,24
2016-11-19,20
2016-11-20,21
2016-11-21,22
2016-11-22,20
2016-11-23,21
2016-11-24,21
2016-11-25,23
2016-11-26,22
2016-11-27,18
2016-11-28,19
2016-11-29,19
2016-11-30,21
2016-12-01,21
2016-12-02,23
2016-12-03,21
2016-12-04,18
2016-12-05,19
2016-12-06,20
2016-12-07,20
2016-12-08,21
2016-12-09,20
2016-12-10,19
2016-12-11,17
2016-12-12,20
2016-12-13,20
2016-12-14,20
2016-12-15,21
2016-12-16,20
2016-12-17,21
2016-12-18,22
2016-12-19,22
2016-12-20,21
2016-12-21,25
2016-12-22,29
2016-12-23,33
2016-12-24,26
2016-12-25,24
2016-12-26,26
2016-12-27,26
2016-12-28,31
2016-12-29,30
2016-12-30,26
2016-12-31,26
2017-01-01,26
2017-01-02,32
2017-01-03,30
2017-01-04,40
2017-01-05,42
2017-01-06,40
2017-01-07,35
2017-01-08,29
2017-01-09,31
2017-01-10,25
2017-01-11,33
2017-01-12,31
2017-01-13,29
2017-01-14,25
2017-01-15,24
2017-01-16,25
2017-01-17,27
2017-01-18,26
2017-01-19,26
2017-01-20,23
2017-01-21,24
2017-01-22,25
2017-01-23,26
2017-01-24,24
2017-01-25,23
2017-01-26,23
2017-01-27,26
2017-01-28,23
2017-01-29,22
2017-01-30,23
2017-01-31,23
2017-02-01,25
2017-02-02,28
2017-02-03,27
2017-02-04,23
2017-02-05,26
2017-02-06,24
2017-02-07,26
2017-02-08,28
2017-02-09,27
2017-02-10,27
2017-02-11,26
2017-02-12,23
2017-02-13,23
2017-02-14,25
2017-02-15,26
2017-02-16,25
2017-02-17,25
2017-02-18,24
2017-02-19,23
2017-02-20,24
2017-02-21,28
2017-02-22,28
2017-02-23,29
2017-02-24,31
2017-02-25,28
2017-02-26,25
2017-02-27,27
2017-02-28,28
2017-03-01,28
2017-03-02,36
2017-03-03,35
2017-03-04,34
2017-03-05,29
2017-03-06,28
2017-03-07,31
2017-03-08,30
2017-03-09,30
2017-03-10,35
2017-03-11,33
2017-03-12,28
2017-03-13,30
2017-03-14,30
2017-03-15,31
2017-03-16,30
2017-03-17,42
2017-03-18,42
2017-03-19,35
2017-03-20,34
2017-03-21,34
2017-03-22,34
2017-03-23,32
2017-03-24,34
2017-03-25,34
2017-03-26,31
2017-03-27,34
2017-03-28,30
2017-03-29,30
2017-03-30,30
2017-03-31,30
2017-04-01,30
2017-04-02,28
2017-04-03,31
2017-04-04,30
2017-04-05,29
2017-04-06,29
2017-04-07,31
2017-04-08,29
2017-04-09,29
2017-04-10,31
2017-04-11,31
2017-04-12,31
2017-04-13,31
2017-04-14,30
2017-04-15,31
2017-04-16,27
2017-04-17,28
2017-04-18,28
2017-04-19,27
2017-04-20,28
2017-04-21,30
2017-04-22,30
2017-04-23,27
2017-04-24,27
2017-04-25,30
2017-04-26,33
2017-04-27,33
2017-04-28,32
2017-04-29,28
2017-04-30,30
2017-05-01,39
2017-05-02,37
2017-05-03,39
2017-05-04,47
2017-05-05,45
2017-05-06,40
2017-05-07,34
2017-05-08,42
2017-05-09,53
2017-05-10,50
2017-05-11,48
2017-05-12,53
2017-05-13,47
2017-05-14,44
2017-05-15,48
2017-05-16,44
2017-05-17,45
2017-05-18,42
2017-05-19,55
2017-05-20,51
2017-05-21,52
2017-05-22,65
2017-05-23,64
2017-05-24,74
2017-05-25,100
2017-05-26,79
2017-05-27,77
2017-05-28,61
2017-05-29,59
2017-05-30,56
2017-05-31,54
