Category: All categories

Day,blockchain: (Worldwide)
2019-02-01,66
2019-02-02,49
2019-02-03,49
2019-02-04,62
2019-02-05,72
2019-02-06,73
2019-02-07,72
2019-02-08,65
2019-02-09,50
2019-02-10,49
2019-02-11,67
2019-02-12,78
2019-02-13,72
2019-02-14,68
2019-02-15,66
2019-02-16,49
2019-02-17,51
2019-02-18,68
2019-02-19,73
2019-02-20,71
2019-02-21,70
2019-02-22,74
2019-02-23,49
2019-02-24,48
2019-02-25,74
2019-02-26,78
2019-02-27,73
2019-02-28,75
2019-03-01,68
2019-03-02,43
2019-03-03,49
2019-03-04,63
2019-03-05,68
2019-03-06,72
2019-03-07,73
2019-03-08,62
2019-03-09,50
2019-03-10,51
2019-03-11,67
2019-03-12,71
2019-03-13,66
2019-03-14,67
2019-03-15,59
2019-03-16,47
2019-03-17,47
2019-03-18,66
2019-03-19,69
2019-03-20,71
2019-03-21,64
2019-03-22,62
2019-03-23,44
2019-03-24,47
2019-03-25,66
2019-03-26,69
2019-03-27,73
2019-03-28,70
2019-03-29,65
2019-03-30,55
2019-03-31,54
2019-04-01,72
2019-04-02,86
2019-04-03,80
2019-04-04,80
2019-04-05,65
2019-04-06,53
2019-04-07,53
2019-04-08,78
2019-04-09,76
2019-04-10,80
2019-04-11,75
2019-04-12,70
2019-04-13,46
2019-04-14,58
2019-04-15,69
2019-04-16,75
2019-04-17,71
2019-04-18,71
2019-04-19,66
2019-04-20,57
2019-04-21,56
2019-04-22,69
2019-04-23,91
2019-04-24,93
2019-04-25,93
2019-04-26,73
2019-04-27,57
2019-04-28,60
2019-04-29,79
2019-04-30,87
2019-05-01,77
2019-05-02,77
2019-05-03,77
2019-05-04,68
2019-05-05,65
2019-05-06,78
2019-05-07,92
2019-05-08,87
2019-05-09,88
2019-05-10,76
2019-05-11,67
2019-05-12,60
2019-05-13,77
2019-05-14,92
2019-05-15,100
2019-05-16,88
2019-05-17,73
2019-05-18,61
2019-05-19,62
2019-05-20,74
2019-05-21,78
2019-05-22,78
2019-05-23,85
2019-05-24,81
2019-05-25,58
2019-05-26,57
2019-05-27,76
2019-05-28,88
2019-05-29,86
2019-05-30,81
2019-05-31,71
2019-06-01,51
2019-06-02,47
2019-06-03,66
2019-06-04,74
2019-06-05,68
2019-06-06,73
2019-06-07,72
2019-06-08,48
2019-06-09,53
2019-06-10,68
2019-06-11,71
2019-06-12,72
2019-06-13,74
2019-06-14,79
2019-06-15,54
2019-06-16,54
2019-06-17,75
2019-06-18,96
2019-06-19,91
2019-06-20,82
2019-06-21,74
2019-06-22,66
2019-06-23,60
2019-06-24,75
2019-06-25,76
2019-06-26,91
2019-06-27,87
2019-06-28,71
2019-06-29,54
2019-06-30,46
2019-07-01,72
2019-07-02,73
2019-07-03,64
2019-07-04,72
2019-07-05,68
2019-07-06,48
2019-07-07,46
2019-07-08,66
2019-07-09,73
2019-07-10,72
2019-07-11,66
2019-07-12,64
2019-07-13,44
2019-07-14,47
2019-07-15,67
2019-07-16,71
2019-07-17,75
2019-07-18,70
2019-07-19,61
2019-07-20,45
2019-07-21,46
2019-07-22,63
2019-07-23,69
2019-07-24,64
2019-07-25,62
2019-07-26,57
2019-07-27,47
2019-07-28,44
2019-07-29,58
2019-07-30,66
2019-07-31,63
2019-08-01,63
2019-08-02,53
2019-08-03,42
2019-08-04,45
2019-08-05,63
2019-08-06,63
2019-08-07,65
2019-08-08,62
2019-08-09,60
2019-08-10,40
2019-08-11,42
2019-08-12,59
2019-08-13,65
2019-08-14,62
2019-08-15,58
2019-08-16,59
2019-08-17,41
2019-08-18,41
2019-08-19,61
2019-08-20,63
2019-08-21,70
2019-08-22,64
2019-08-23,57
2019-08-24,42
2019-08-25,43
2019-08-26,59
2019-08-27,63
2019-08-28,63
2019-08-29,64
2019-08-30,58
2019-08-31,45
2019-09-01,39
2019-09-02,51
2019-09-03,63
2019-09-04,63
2019-09-05,66
2019-09-06,64
2019-09-07,40
2019-09-08,47
2019-09-09,66
2019-09-10,64
2019-09-11,61
2019-09-12,64
2019-09-13,60
2019-09-14,43
2019-09-15,45
2019-09-16,61
2019-09-17,63
2019-09-18,73
2019-09-19,66
2019-09-20,65
2019-09-21,47
2019-09-22,43
2019-09-23,66
2019-09-24,64
2019-09-25,69
2019-09-26,68
2019-09-27,60
2019-09-28,43
2019-09-29,45
2019-09-30,61
