Category: All categories

Day,blockchain: (Worldwide)
2018-07-01,55
2018-07-02,89
2018-07-03,85
2018-07-04,87
2018-07-05,90
2018-07-06,73
2018-07-07,52
2018-07-08,57
2018-07-09,77
2018-07-10,83
2018-07-11,94
2018-07-12,100
2018-07-13,78
2018-07-14,53
2018-07-15,53
2018-07-16,89
2018-07-17,94
2018-07-18,100
2018-07-19,93
2018-07-20,79
2018-07-21,53
2018-07-22,56
2018-07-23,86
2018-07-24,100
2018-07-25,97
2018-07-26,96
2018-07-27,88
2018-07-28,62
2018-07-29,53
2018-07-30,89
2018-07-31,92
2018-08-01,91
2018-08-02,89
2018-08-03,80
2018-08-04,55
2018-08-05,53
2018-08-06,72
2018-08-07,84
2018-08-08,92
2018-08-09,83
2018-08-10,78
2018-08-11,61
2018-08-12,56
2018-08-13,86
2018-08-14,90
2018-08-15,85
2018-08-16,85
2018-08-17,74
2018-08-18,52
2018-08-19,50
2018-08-20,77
2018-08-21,89
2018-08-22,76
2018-08-23,86
2018-08-24,75
2018-08-25,58
2018-08-26,49
2018-08-27,91
2018-08-28,97
2018-08-29,97
2018-08-30,95
2018-08-31,79
2018-09-01,58
2018-09-02,58
2018-09-03,79
2018-09-04,97
2018-09-05,90
2018-09-06,92
2018-09-07,76
2018-09-08,59
2018-09-09,59
2018-09-10,86
2018-09-11,90
2018-09-12,93
2018-09-13,86
2018-09-14,77
2018-09-15,59
2018-09-16,48
2018-09-17,88
2018-09-18,87
2018-09-19,88
2018-09-20,95
2018-09-21,85
2018-09-22,55
2018-09-23,53
2018-09-24,88
2018-09-25,97
2018-09-26,100
2018-09-27,99
2018-09-28,88
2018-09-29,61
2018-09-30,59
2018-10-01,88
2018-10-02,92
2018-10-03,84
2018-10-04,93
2018-10-05,89
2018-10-06,54
2018-10-07,52
2018-10-08,85
2018-10-09,95
2018-10-10,91
2018-10-11,94
2018-10-12,76
2018-10-13,56
2018-10-14,60
2018-10-15,87
2018-10-16,96
2018-10-17,90
2018-10-18,91
2018-10-19,79
2018-10-20,59
2018-10-21,57
2018-10-22,90
2018-10-23,95
2018-10-24,98
2018-10-25,92
2018-10-26,86
2018-10-27,55
2018-10-28,58
2018-10-29,89
2018-10-30,91
2018-10-31,86
2018-11-01,78
2018-11-02,80
2018-11-03,56
2018-11-04,57
2018-11-05,86
2018-11-06,92
2018-11-07,84
2018-11-08,93
2018-11-09,90
2018-11-10,58
2018-11-11,57
2018-11-12,74
2018-11-13,89
2018-11-14,92
2018-11-15,90
2018-11-16,80
2018-11-17,64
2018-11-18,59
2018-11-19,85
2018-11-20,83
2018-11-21,77
2018-11-22,74
2018-11-23,66
2018-11-24,52
2018-11-25,52
2018-11-26,81
2018-11-27,93
2018-11-28,93
2018-11-29,87
2018-11-30,76
2018-12-01,52
2018-12-02,51
2018-12-03,77
2018-12-04,86
2018-12-05,77
2018-12-06,72
2018-12-07,65
2018-12-08,50
2018-12-09,51
2018-12-10,69
2018-12-11,72
2018-12-12,71
2018-12-13,72
2018-12-14,63
2018-12-15,49
2018-12-16,46
2018-12-17,64
2018-12-18,69
2018-12-19,72
2018-12-20,63
2018-12-21,54
2018-12-22,37
2018-12-23,41
2018-12-24,48
2018-12-25,44
2018-12-26,51
2018-12-27,51
2018-12-28,52
2018-12-29,39
2018-12-30,37
2018-12-31,44
2019-01-01,38
2019-01-02,60
2019-01-03,64
2019-01-04,61
2019-01-05,44
2019-01-06,43
2019-01-07,64
2019-01-08,70
2019-01-09,67
2019-01-10,67
2019-01-11,64
2019-01-12,44
2019-01-13,45
2019-01-14,63
2019-01-15,58
2019-01-16,68
2019-01-17,67
2019-01-18,59
2019-01-19,43
2019-01-20,42
2019-01-21,58
2019-01-22,65
2019-01-23,64
2019-01-24,86
2019-01-25,66
2019-01-26,43
2019-01-27,47
2019-01-28,65
2019-01-29,62
2019-01-30,63
2019-01-31,66
2019-02-01,62
2019-02-02,46
2019-02-03,45
2019-02-04,58
2019-02-05,68
2019-02-06,68
2019-02-07,67
2019-02-08,61
2019-02-09,47
2019-02-10,46
2019-02-11,62
2019-02-12,73
2019-02-13,67
2019-02-14,63
2019-02-15,62
2019-02-16,46
2019-02-17,48
2019-02-18,64
2019-02-19,69
2019-02-20,67
2019-02-21,65
2019-02-22,69
2019-02-23,45
2019-02-24,44
2019-02-25,70
2019-02-26,73
2019-02-27,68
2019-02-28,70
