Category: All categories

Day,blockchain: (Worldwide)
2021-06-01,72
2021-06-02,70
2021-06-03,69
2021-06-04,62
2021-06-05,55
2021-06-06,58
2021-06-07,64
2021-06-08,73
2021-06-09,74
2021-06-10,71
2021-06-11,58
2021-06-12,47
2021-06-13,49
2021-06-14,61
2021-06-15,63
2021-06-16,63
2021-06-17,63
2021-06-18,56
2021-06-19,45
2021-06-20,45
2021-06-21,56
2021-06-22,63
2021-06-23,56
2021-06-24,59
2021-06-25,56
2021-06-26,46
2021-06-27,46
2021-06-28,55
2021-06-29,55
2021-06-30,63
2021-07-01,58
2021-07-02,55
2021-07-03,41
2021-07-04,46
2021-07-05,53
2021-07-06,52
2021-07-07,50
2021-07-08,53
2021-07-09,51
2021-07-10,40
2021-07-11,38
2021-07-12,51
2021-07-13,53
2021-07-14,55
2021-07-15,54
2021-07-16,50
2021-07-17,43
2021-07-18,41
2021-07-19,54
2021-07-20,52
2021-07-21,51
2021-07-22,60
2021-07-23,52
2021-07-24,40
2021-07-25,41
2021-07-26,63
2021-07-27,53
2021-07-28,57
2021-07-29,59
2021-07-30,52
2021-07-31,49
2021-08-01,40
2021-08-02,52
2021-08-03,48
2021-08-04,56
2021-08-05,51
2021-08-06,52
2021-08-07,45
2021-08-08,46
2021-08-09,58
2021-08-10,59
2021-08-11,59
2021-08-12,56
2021-08-13,57
2021-08-14,44
2021-08-15,46
2021-08-16,52
2021-08-17,53
2021-08-18,59
2021-08-19,55
2021-08-20,58
2021-08-21,49
2021-08-22,49
2021-08-23,62
2021-08-24,64
2021-08-25,66
2021-08-26,58
2021-08-27,55
2021-08-28,47
2021-08-29,47
2021-08-30,60
2021-08-31,65
2021-09-01,67
2021-09-02,63
2021-09-03,70
2021-09-04,50
2021-09-05,54
2021-09-06,59
2021-09-07,69
2021-09-08,61
2021-09-09,63
2021-09-10,58
2021-09-11,50
2021-09-12,49
2021-09-13,57
2021-09-14,68
2021-09-15,75
2021-09-16,71
2021-09-17,62
2021-09-18,48
2021-09-19,47
2021-09-20,57
2021-09-21,62
2021-09-22,68
2021-09-23,71
2021-09-24,63
2021-09-25,44
2021-09-26,44
2021-09-27,61
2021-09-28,53
2021-09-29,58
2021-09-30,59
2021-10-01,57
2021-10-02,41
2021-10-03,45
2021-10-04,52
2021-10-05,68
2021-10-06,73
2021-10-07,67
2021-10-08,58
2021-10-09,50
2021-10-10,45
2021-10-11,58
2021-10-12,68
2021-10-13,61
2021-10-14,71
2021-10-15,65
2021-10-16,58
2021-10-17,55
2021-10-18,72
2021-10-19,76
2021-10-20,82
2021-10-21,80
2021-10-22,75
2021-10-23,54
2021-10-24,49
2021-10-25,68
2021-10-26,71
2021-10-27,81
2021-10-28,91
2021-10-29,91
2021-10-30,66
2021-10-31,65
2021-11-01,79
2021-11-02,91
2021-11-03,86
2021-11-04,84
2021-11-05,72
2021-11-06,58
2021-11-07,61
2021-11-08,84
2021-11-09,95
2021-11-10,100
2021-11-11,83
2021-11-12,81
2021-11-13,69
2021-11-14,64
2021-11-15,86
2021-11-16,87
2021-11-17,89
2021-11-18,85
2021-11-19,81
2021-11-20,60
2021-11-21,62
2021-11-22,76
2021-11-23,79
2021-11-24,75
2021-11-25,81
2021-11-26,71
2021-11-27,58
2021-11-28,58
2021-11-29,82
2021-11-30,84
2021-12-01,83
2021-12-02,80
2021-12-03,75
2021-12-04,67
2021-12-05,58
2021-12-06,80
2021-12-07,81
2021-12-08,78
2021-12-09,79
2021-12-10,75
2021-12-11,63
2021-12-12,56
2021-12-13,73
2021-12-14,72
2021-12-15,78
2021-12-16,78
2021-12-17,69
2021-12-18,61
2021-12-19,58
2021-12-20,66
2021-12-21,65
2021-12-22,77
2021-12-23,68
2021-12-24,71
2021-12-25,60
2021-12-26,59
2021-12-27,66
2021-12-28,72
2021-12-29,73
2021-12-30,69
2021-12-31,55
2022-01-01,53
2022-01-02,64
2022-01-03,70
2022-01-04,80
2022-01-05,71
2022-01-06,78
2022-01-07,82
2022-01-08,64
2022-01-09,64
2022-01-10,74
2022-01-11,75
2022-01-12,74
2022-01-13,75
2022-01-14,79
2022-01-15,57
2022-01-16,56
2022-01-17,71
2022-01-18,75
2022-01-19,74
2022-01-20,80
2022-01-21,65
2022-01-22,60
2022-01-23,53
2022-01-24,78
2022-01-25,76
2022-01-26,72
2022-01-27,73
2022-01-28,65
2022-01-29,60
2022-01-30,55
2022-01-31,66
