Category: All categories

Day,blockchain: (Worldwide)
2022-01-01,61
2022-01-02,74
2022-01-03,81
2022-01-04,92
2022-01-05,81
2022-01-06,89
2022-01-07,94
2022-01-08,74
2022-01-09,74
2022-01-10,85
2022-01-11,86
2022-01-12,84
2022-01-13,86
2022-01-14,91
2022-01-15,65
2022-01-16,64
2022-01-17,81
2022-01-18,86
2022-01-19,85
2022-01-20,92
2022-01-21,75
2022-01-22,69
2022-01-23,61
2022-01-24,89
2022-01-25,87
2022-01-26,83
2022-01-27,83
2022-01-28,74
2022-01-29,69
2022-01-30,64
2022-01-31,76
2022-02-01,100
2022-02-02,92
2022-02-03,87
2022-02-04,83
2022-02-05,73
2022-02-06,68
2022-02-07,95
2022-02-08,87
2022-02-09,85
2022-02-10,88
2022-02-11,73
2022-02-12,65
2022-02-13,65
2022-02-14,68
2022-02-15,74
2022-02-16,81
2022-02-17,82
2022-02-18,70
2022-02-19,57
2022-02-20,57
2022-02-21,72
2022-02-22,73
2022-02-23,80
2022-02-24,68
2022-02-25,62
2022-02-26,58
2022-02-27,52
2022-02-28,69
2022-03-01,66
2022-03-02,70
2022-03-03,69
2022-03-04,60
2022-03-05,53
2022-03-06,54
2022-03-07,69
2022-03-08,67
2022-03-09,72
2022-03-10,76
2022-03-11,69
2022-03-12,52
2022-03-13,51
2022-03-14,67
2022-03-15,67
2022-03-16,74
2022-03-17,70
2022-03-18,68
2022-03-19,59
2022-03-20,53
2022-03-21,71
2022-03-22,71
2022-03-23,72
2022-03-24,79
2022-03-25,63
2022-03-26,59
2022-03-27,61
2022-03-28,70
2022-03-29,76
2022-03-30,83
2022-03-31,74
