Category: All categories

Day,bitcoin: (Worldwide)
2014-02-01,26
2014-02-02,26
2014-02-03,26
2014-02-04,27
2014-02-05,26
2014-02-06,29
2014-02-07,42
2014-02-08,32
2014-02-09,30
2014-02-10,44
2014-02-11,43
2014-02-12,37
2014-02-13,33
2014-02-14,42
2014-02-15,28
2014-02-16,32
2014-02-17,29
2014-02-18,33
2014-02-19,32
2014-02-20,36
2014-02-21,33
2014-02-22,26
2014-02-23,27
2014-02-24,39
2014-02-25,100
2014-02-26,68
2014-02-27,45
2014-02-28,58
2014-03-01,46
2014-03-02,36
2014-03-03,36
2014-03-04,37
2014-03-05,40
2014-03-06,57
2014-03-07,66
2014-03-08,36
2014-03-09,30
2014-03-10,29
2014-03-11,28
2014-03-12,26
2014-03-13,23
2014-03-14,22
2014-03-15,19
2014-03-16,18
2014-03-17,20
2014-03-18,21
2014-03-19,20
2014-03-20,21
2014-03-21,26
2014-03-22,20
2014-03-23,17
2014-03-24,20
2014-03-25,25
2014-03-26,26
2014-03-27,24
2014-03-28,23
2014-03-29,17
2014-03-30,20
2014-03-31,21
2014-04-01,19
2014-04-02,21
2014-04-03,20
2014-04-04,16
2014-04-05,16
2014-04-06,16
2014-04-07,17
2014-04-08,17
2014-04-09,20
2014-04-10,21
2014-04-11,20
2014-04-12,16
2014-04-13,14
2014-04-14,16
2014-04-15,18
2014-04-16,20
2014-04-17,17
2014-04-18,15
2014-04-19,14
2014-04-20,13
2014-04-21,15
2014-04-22,14
2014-04-23,15
2014-04-24,14
2014-04-25,16
2014-04-26,13
2014-04-27,13
2014-04-28,15
2014-04-29,13
2014-04-30,16
2014-05-01,14
2014-05-02,12
2014-05-03,12
2014-05-04,12
2014-05-05,15
2014-05-06,13
2014-05-07,12
2014-05-08,15
2014-05-09,13
2014-05-10,11
2014-05-11,11
2014-05-12,12
2014-05-13,14
2014-05-14,12
2014-05-15,14
2014-05-16,13
2014-05-17,11
2014-05-18,11
2014-05-19,12
2014-05-20,13
2014-05-21,12
2014-05-22,15
2014-05-23,13
2014-05-24,12
2014-05-25,13
2014-05-26,16
2014-05-27,16
2014-05-28,15
2014-05-29,16
2014-05-30,16
2014-05-31,13
2014-06-01,13
2014-06-02,15
2014-06-03,16
2014-06-04,13
2014-06-05,13
2014-06-06,12
2014-06-07,12
2014-06-08,11
2014-06-09,12
2014-06-10,13
2014-06-11,15
2014-06-12,16
2014-06-13,18
2014-06-14,14
2014-06-15,13
2014-06-16,15
2014-06-17,14
2014-06-18,13
2014-06-19,14
2014-06-20,13
2014-06-21,11
2014-06-22,12
2014-06-23,11
2014-06-24,11
2014-06-25,11
2014-06-26,11
2014-06-27,13
2014-06-28,12
2014-06-29,11
2014-06-30,13
2014-07-01,13
2014-07-02,13
2014-07-03,13
2014-07-04,12
2014-07-05,11
2014-07-06,12
2014-07-07,13
2014-07-08,12
2014-07-09,12
2014-07-10,12
2014-07-11,13
2014-07-12,11
2014-07-13,10
2014-07-14,10
2014-07-15,12
2014-07-16,14
2014-07-17,13
2014-07-18,13
2014-07-19,13
2014-07-20,12
2014-07-21,12
2014-07-22,12
2014-07-23,12
2014-07-24,12
2014-07-25,12
2014-07-26,11
2014-07-27,11
2014-07-28,12
2014-07-29,12
2014-07-30,12
2014-07-31,12
2014-08-01,12
2014-08-02,11
2014-08-03,10
2014-08-04,11
2014-08-05,12
2014-08-06,14
2014-08-07,13
2014-08-08,11
2014-08-09,11
2014-08-10,11
2014-08-11,12
2014-08-12,11
2014-08-13,18
2014-08-14,16
2014-08-15,16
2014-08-16,14
2014-08-17,12
2014-08-18,15
2014-08-19,15
2014-08-20,14
2014-08-21,12
2014-08-22,12
2014-08-23,11
2014-08-24,12
2014-08-25,11
2014-08-26,11
2014-08-27,10
2014-08-28,11
2014-08-29,11
2014-08-30,11
2014-08-31,13
2014-09-01,13
2014-09-02,14
2014-09-03,13
2014-09-04,12
2014-09-05,12
2014-09-06,11
2014-09-07,12
2014-09-08,12
2014-09-09,15
2014-09-10,17
2014-09-11,17
2014-09-12,14
2014-09-13,11
2014-09-14,11
2014-09-15,12
2014-09-16,11
2014-09-17,12
2014-09-18,12
2014-09-19,14
2014-09-20,12
2014-09-21,12
2014-09-22,12
2014-09-23,15
2014-09-24,14
2014-09-25,12
2014-09-26,11
2014-09-27,10
2014-09-28,12
2014-09-29,14
2014-09-30,14
