Category: All categories

Day,bitcoin: (Worldwide)
2012-05-01,26
2012-05-02,22
2012-05-03,17
2012-05-04,17
2012-05-05,22
2012-05-06,43
2012-05-07,27
2012-05-08,25
2012-05-09,19
2012-05-10,28
2012-05-11,25
2012-05-12,26
2012-05-13,32
2012-05-14,30
2012-05-15,21
2012-05-16,28
2012-05-17,27
2012-05-18,24
2012-05-19,21
2012-05-20,17
2012-05-21,28
2012-05-22,21
2012-05-23,26
2012-05-24,20
2012-05-25,22
2012-05-26,21
2012-05-27,27
2012-05-28,22
2012-05-29,27
2012-05-30,18
2012-05-31,25
2012-06-01,13
2012-06-02,24
2012-06-03,18
2012-06-04,21
2012-06-05,21
2012-06-06,19
2012-06-07,23
2012-06-08,30
2012-06-09,28
2012-06-10,25
2012-06-11,26
2012-06-12,18
2012-06-13,35
2012-06-14,26
2012-06-15,23
2012-06-16,26
2012-06-17,29
2012-06-18,21
2012-06-19,23
2012-06-20,26
2012-06-21,27
2012-06-22,25
2012-06-23,28
2012-06-24,26
2012-06-25,26
2012-06-26,23
2012-06-27,25
2012-06-28,26
2012-06-29,23
2012-06-30,23
2012-07-01,27
2012-07-02,20
2012-07-03,23
2012-07-04,29
2012-07-05,23
2012-07-06,20
2012-07-07,26
2012-07-08,28
2012-07-09,31
2012-07-10,28
2012-07-11,30
2012-07-12,25
2012-07-13,29
2012-07-14,28
2012-07-15,25
2012-07-16,28
2012-07-17,32
2012-07-18,24
2012-07-19,35
2012-07-20,33
2012-07-21,36
2012-07-22,34
2012-07-23,29
2012-07-24,27
2012-07-25,25
2012-07-26,26
2012-07-27,28
2012-07-28,24
2012-07-29,26
2012-07-30,29
2012-07-31,29
2012-08-01,30
2012-08-02,31
2012-08-03,35
2012-08-04,30
2012-08-05,26
2012-08-06,28
2012-08-07,31
2012-08-08,28
2012-08-09,31
2012-08-10,27
2012-08-11,26
2012-08-12,35
2012-08-13,29
2012-08-14,38
2012-08-15,39
2012-08-16,50
2012-08-17,46
2012-08-18,33
2012-08-19,44
2012-08-20,37
2012-08-21,51
2012-08-22,52
2012-08-23,43
2012-08-24,36
2012-08-25,33
2012-08-26,31
2012-08-27,29
2012-08-28,35
2012-08-29,36
2012-08-30,31
2012-08-31,26
2012-09-01,31
2012-09-02,29
2012-09-03,28
2012-09-04,25
2012-09-05,100
2012-09-06,92
2012-09-07,51
2012-09-08,43
2012-09-09,43
2012-09-10,32
2012-09-11,37
2012-09-12,32
2012-09-13,33
2012-09-14,31
2012-09-15,25
2012-09-16,35
2012-09-17,30
2012-09-18,33
2012-09-19,41
2012-09-20,30
2012-09-21,28
2012-09-22,28
2012-09-23,31
2012-09-24,34
2012-09-25,35
2012-09-26,31
2012-09-27,33
2012-09-28,34
2012-09-29,28
2012-09-30,28
2012-10-01,32
2012-10-02,35
2012-10-03,37
2012-10-04,32
2012-10-05,28
2012-10-06,26
2012-10-07,24
2012-10-08,30
2012-10-09,29
2012-10-10,32
2012-10-11,40
2012-10-12,41
2012-10-13,27
2012-10-14,25
2012-10-15,29
2012-10-16,34
2012-10-17,24
2012-10-18,32
2012-10-19,32
2012-10-20,29
2012-10-21,31
2012-10-22,26
2012-10-23,24
2012-10-24,30
2012-10-25,28
2012-10-26,27
2012-10-27,26
2012-10-28,28
2012-10-29,27
2012-10-30,24
2012-10-31,25
2012-11-01,25
2012-11-02,25
2012-11-03,26
2012-11-04,28
2012-11-05,28
2012-11-06,28
2012-11-07,27
2012-11-08,24
2012-11-09,30
2012-11-10,32
2012-11-11,27
2012-11-12,30
2012-11-13,32
2012-11-14,26
2012-11-15,20
2012-11-16,42
2012-11-17,36
2012-11-18,34
2012-11-19,38
2012-11-20,33
2012-11-21,31
2012-11-22,33
2012-11-23,27
2012-11-24,32
2012-11-25,29
2012-11-26,47
2012-11-27,34
2012-11-28,63
2012-11-29,44
2012-11-30,34
2012-12-01,36
2012-12-02,34
2012-12-03,34
2012-12-04,36
2012-12-05,33
2012-12-06,38
2012-12-07,41
2012-12-08,50
2012-12-09,59
2012-12-10,56
2012-12-11,48
2012-12-12,44
2012-12-13,38
2012-12-14,35
2012-12-15,35
2012-12-16,36
2012-12-17,34
2012-12-18,33
2012-12-19,32
2012-12-20,31
2012-12-21,28
2012-12-22,34
2012-12-23,28
2012-12-24,25
2012-12-25,38
2012-12-26,25
2012-12-27,36
2012-12-28,28
2012-12-29,30
2012-12-30,32
2012-12-31,28
