Category: All categories

Day,cryptocurrency: (Worldwide)
2015-08-01,40
2015-08-02,54
2015-08-03,41
2015-08-04,67
2015-08-05,53
2015-08-06,37
2015-08-07,39
2015-08-08,44
2015-08-09,44
2015-08-10,55
2015-08-11,48
2015-08-12,56
2015-08-13,30
2015-08-14,34
2015-08-15,75
2015-08-16,65
2015-08-17,55
2015-08-18,50
2015-08-19,40
2015-08-20,33
2015-08-21,46
2015-08-22,39
2015-08-23,9
2015-08-24,28
2015-08-25,32
2015-08-26,43
2015-08-27,65
2015-08-28,38
2015-08-29,39
2015-08-30,38
2015-08-31,28
2015-09-01,32
2015-09-02,43
2015-09-03,25
2015-09-04,26
2015-09-05,50
2015-09-06,42
2015-09-07,22
2015-09-08,49
2015-09-09,28
2015-09-10,25
2015-09-11,45
2015-09-12,29
2015-09-13,41
2015-09-14,53
2015-09-15,46
2015-09-16,53
2015-09-17,28
2015-09-18,38
2015-09-19,37
2015-09-20,37
2015-09-21,56
2015-09-22,35
2015-09-23,35
2015-09-24,62
2015-09-25,11
2015-09-26,17
2015-09-27,37
2015-09-28,31
2015-09-29,59
2015-09-30,17
2015-10-01,28
2015-10-02,29
2015-10-03,37
2015-10-04,44
2015-10-05,31
2015-10-06,38
2015-10-07,48
2015-10-08,38
2015-10-09,47
2015-10-10,37
2015-10-11,78
2015-10-12,29
2015-10-13,34
2015-10-14,41
2015-10-15,42
2015-10-16,43
2015-10-17,45
2015-10-18,52
2015-10-19,44
2015-10-20,51
2015-10-21,41
2015-10-22,57
2015-10-23,51
2015-10-24,65
2015-10-25,39
2015-10-26,40
2015-10-27,48
2015-10-28,38
2015-10-29,62
2015-10-30,58
2015-10-31,21
2015-11-01,37
2015-11-02,72
2015-11-03,48
2015-11-04,51
2015-11-05,48
2015-11-06,36
2015-11-07,36
2015-11-08,68
2015-11-09,55
2015-11-10,55
2015-11-11,64
2015-11-12,50
2015-11-13,44
2015-11-14,24
2015-11-15,60
2015-11-16,31
2015-11-17,37
2015-11-18,38
2015-11-19,38
2015-11-20,29
2015-11-21,60
2015-11-22,52
2015-11-23,41
2015-11-24,55
2015-11-25,24
2015-11-26,36
2015-11-27,33
2015-11-28,37
2015-11-29,44
2015-11-30,33
2015-12-01,51
2015-12-02,66
2015-12-03,73
2015-12-04,68
2015-12-05,37
2015-12-06,37
2015-12-07,45
2015-12-08,59
2015-12-09,61
2015-12-10,49
2015-12-11,58
2015-12-12,70
2015-12-13,32
2015-12-14,54
2015-12-15,46
2015-12-16,46
2015-12-17,40
2015-12-18,31
2015-12-19,51
2015-12-20,64
2015-12-21,44
2015-12-22,49
2015-12-23,32
2015-12-24,26
2015-12-25,19
2015-12-26,65
2015-12-27,64
2015-12-28,78
2015-12-29,53
2015-12-30,54
2015-12-31,51
2016-01-01,47
2016-01-02,44
2016-01-03,25
2016-01-04,45
2016-01-05,41
2016-01-06,49
2016-01-07,63
2016-01-08,92
2016-01-09,29
2016-01-10,41
2016-01-11,68
2016-01-12,68
2016-01-13,47
2016-01-14,33
2016-01-15,38
2016-01-16,42
2016-01-17,41
2016-01-18,48
2016-01-19,33
2016-01-20,44
2016-01-21,80
2016-01-22,34
2016-01-23,37
2016-01-24,61
2016-01-25,65
2016-01-26,43
2016-01-27,43
2016-01-28,62
2016-01-29,79
2016-01-30,59
2016-01-31,33
2016-02-01,61
2016-02-02,68
2016-02-03,54
2016-02-04,66
2016-02-05,53
2016-02-06,54
2016-02-07,50
2016-02-08,48
2016-02-09,47
2016-02-10,64
2016-02-11,66
2016-02-12,67
2016-02-13,73
2016-02-14,49
2016-02-15,69
2016-02-16,81
2016-02-17,32
2016-02-18,39
2016-02-19,45
2016-02-20,74
2016-02-21,57
2016-02-22,64
2016-02-23,39
2016-02-24,89
2016-02-25,50
2016-02-26,53
2016-02-27,40
2016-02-28,93
2016-02-29,52
2016-03-01,49
2016-03-02,82
2016-03-03,50
2016-03-04,33
2016-03-05,73
2016-03-06,56
2016-03-07,100
2016-03-08,70
2016-03-09,86
2016-03-10,76
2016-03-11,67
2016-03-12,84
2016-03-13,48
2016-03-14,64
2016-03-15,93
2016-03-16,82
2016-03-17,50
2016-03-18,64
2016-03-19,50
2016-03-20,73
2016-03-21,47
2016-03-22,72
2016-03-23,92
2016-03-24,72
2016-03-25,69
2016-03-26,43
2016-03-27,48
2016-03-28,74
2016-03-29,71
2016-03-30,68
2016-03-31,83
