Category: All categories

Day,cryptocurrency: (Worldwide)
2022-01-01,38
2022-01-02,39
2022-01-03,40
2022-01-04,37
2022-01-05,40
2022-01-06,64
2022-01-07,48
2022-01-08,52
2022-01-09,51
2022-01-10,43
2022-01-11,43
2022-01-12,39
2022-01-13,36
2022-01-14,36
2022-01-15,36
2022-01-16,37
2022-01-17,46
2022-01-18,40
2022-01-19,37
2022-01-20,34
2022-01-21,75
2022-01-22,100
2022-01-23,57
2022-01-24,50
2022-01-25,42
2022-01-26,43
2022-01-27,39
2022-01-28,37
2022-01-29,35
2022-01-30,36
2022-01-31,34
2022-02-01,70
2022-02-02,50
2022-02-03,40
2022-02-04,38
2022-02-05,41
2022-02-06,36
2022-02-07,44
2022-02-08,40
2022-02-09,41
2022-02-10,34
2022-02-11,32
2022-02-12,39
2022-02-13,32
2022-02-14,32
2022-02-15,32
2022-02-16,32
2022-02-17,32
2022-02-18,33
2022-02-19,33
2022-02-20,39
2022-02-21,31
2022-02-22,36
2022-02-23,30
2022-02-24,36
2022-02-25,31
2022-02-26,26
2022-02-27,26
2022-02-28,28
2022-03-01,30
2022-03-02,29
2022-03-03,27
2022-03-04,27
2022-03-05,24
2022-03-06,24
2022-03-07,25
2022-03-08,32
2022-03-09,34
2022-03-10,32
2022-03-11,30
2022-03-12,25
2022-03-13,22
2022-03-14,24
2022-03-15,27
2022-03-16,25
2022-03-17,26
2022-03-18,25
2022-03-19,21
2022-03-20,26
2022-03-21,25
2022-03-22,27
2022-03-23,26
2022-03-24,29
2022-03-25,25
2022-03-26,25
2022-03-27,28
2022-03-28,33
2022-03-29,27
2022-03-30,28
2022-03-31,28
