Category: All categories

Day,cryptocurrency: (Worldwide)
2020-11-01,4
2020-11-02,5
2020-11-03,4
2020-11-04,4
2020-11-05,5
2020-11-06,5
2020-11-07,5
2020-11-08,5
2020-11-09,5
2020-11-10,5
2020-11-11,5
2020-11-12,5
2020-11-13,5
2020-11-14,5
2020-11-15,5
2020-11-16,5
2020-11-17,7
2020-11-18,7
2020-11-19,7
2020-11-20,7
2020-11-21,9
2020-11-22,8
2020-11-23,9
2020-11-24,12
2020-11-25,10
2020-11-26,10
2020-11-27,6
2020-11-28,7
2020-11-29,7
2020-11-30,8
2020-12-01,8
2020-12-02,7
2020-12-03,8
2020-12-04,8
2020-12-05,8
2020-12-06,7
2020-12-07,7
2020-12-08,7
2020-12-09,7
2020-12-10,7
2020-12-11,7
2020-12-12,7
2020-12-13,7
2020-12-14,6
2020-12-15,6
2020-12-16,8
2020-12-17,11
2020-12-18,9
2020-12-19,9
2020-12-20,9
2020-12-21,8
2020-12-22,9
2020-12-23,9
2020-12-24,9
2020-12-25,9
2020-12-26,10
2020-12-27,11
2020-12-28,10
2020-12-29,11
2020-12-30,10
2020-12-31,10
2021-01-01,11
2021-01-02,17
2021-01-03,20
2021-01-04,19
2021-01-05,17
2021-01-06,18
2021-01-07,23
2021-01-08,21
2021-01-09,20
2021-01-10,21
2021-01-11,23
2021-01-12,16
2021-01-13,16
2021-01-14,17
2021-01-15,16
2021-01-16,16
2021-01-17,15
2021-01-18,13
2021-01-19,16
2021-01-20,13
2021-01-21,13
2021-01-22,14
2021-01-23,12
2021-01-24,12
2021-01-25,12
2021-01-26,11
2021-01-27,12
2021-01-28,18
2021-01-29,42
2021-01-30,31
2021-01-31,28
2021-02-01,25
2021-02-02,20
2021-02-03,19
2021-02-04,24
2021-02-05,27
2021-02-06,28
2021-02-07,30
2021-02-08,33
2021-02-09,35
2021-02-10,31
2021-02-11,31
2021-02-12,31
2021-02-13,30
2021-02-14,28
2021-02-15,27
2021-02-16,24
2021-02-17,24
2021-02-18,25
2021-02-19,26
2021-02-20,31
2021-02-21,28
2021-02-22,27
2021-02-23,29
2021-02-24,21
2021-02-25,19
2021-02-26,19
2021-02-27,19
2021-02-28,18
2021-03-01,17
2021-03-02,16
2021-03-03,16
2021-03-04,16
2021-03-05,14
2021-03-06,15
2021-03-07,16
2021-03-08,14
2021-03-09,17
2021-03-10,16
2021-03-11,17
2021-03-12,15
2021-03-13,20
2021-03-14,20
2021-03-15,19
2021-03-16,20
2021-03-17,18
2021-03-18,18
2021-03-19,16
2021-03-20,18
2021-03-21,16
2021-03-22,18
2021-03-23,16
2021-03-24,16
2021-03-25,17
2021-03-26,14
2021-03-27,15
2021-03-28,15
2021-03-29,15
2021-03-30,17
2021-03-31,17
2021-04-01,18
2021-04-02,20
2021-04-03,21
2021-04-04,20
2021-04-05,23
2021-04-06,22
2021-04-07,21
2021-04-08,19
2021-04-09,18
2021-04-10,21
2021-04-11,25
2021-04-12,22
2021-04-13,28
2021-04-14,35
2021-04-15,33
2021-04-16,53
2021-04-17,46
2021-04-18,47
2021-04-19,41
2021-04-20,40
2021-04-21,34
2021-04-22,33
2021-04-23,41
2021-04-24,30
2021-04-25,28
2021-04-26,27
2021-04-27,29
2021-04-28,29
2021-04-29,26
2021-04-30,27
2021-05-01,31
2021-05-02,32
2021-05-03,36
2021-05-04,44
2021-05-05,54
2021-05-06,52
2021-05-07,47
2021-05-08,57
2021-05-09,60
2021-05-10,55
2021-05-11,50
2021-05-12,48
2021-05-13,65
2021-05-14,49
2021-05-15,49
2021-05-16,45
2021-05-17,43
2021-05-18,39
2021-05-19,100
2021-05-20,62
2021-05-21,45
2021-05-22,43
2021-05-23,48
2021-05-24,39
2021-05-25,35
2021-05-26,32
2021-05-27,29
2021-05-28,31
2021-05-29,32
2021-05-30,30
2021-05-31,25
2021-06-01,27
2021-06-02,27
2021-06-03,27
2021-06-04,26
2021-06-05,26
2021-06-06,24
2021-06-07,24
2021-06-08,28
2021-06-09,24
2021-06-10,22
2021-06-11,19
2021-06-12,21
2021-06-13,20
2021-06-14,20
2021-06-15,18
2021-06-16,18
2021-06-17,19
2021-06-18,18
2021-06-19,20
2021-06-20,20
2021-06-21,23
2021-06-22,29
2021-06-23,18
2021-06-24,18
2021-06-25,17
2021-06-26,18
2021-06-27,16
2021-06-28,17
2021-06-29,16
2021-06-30,16
