Category: All categories

Day,cryptocurrency: (Worldwide)
2018-07-01,53
2018-07-02,55
2018-07-03,72
2018-07-04,59
2018-07-05,67
2018-07-06,53
2018-07-07,49
2018-07-08,56
2018-07-09,56
2018-07-10,58
2018-07-11,56
2018-07-12,61
2018-07-13,61
2018-07-14,42
2018-07-15,43
2018-07-16,65
2018-07-17,75
2018-07-18,85
2018-07-19,74
2018-07-20,72
2018-07-21,59
2018-07-22,61
2018-07-23,65
2018-07-24,71
2018-07-25,69
2018-07-26,63
2018-07-27,59
2018-07-28,55
2018-07-29,55
2018-07-30,60
2018-07-31,67
2018-08-01,61
2018-08-02,57
2018-08-03,66
2018-08-04,53
2018-08-05,52
2018-08-06,59
2018-08-07,68
2018-08-08,88
2018-08-09,60
2018-08-10,60
2018-08-11,70
2018-08-12,51
2018-08-13,65
2018-08-14,100
2018-08-15,71
2018-08-16,58
2018-08-17,55
2018-08-18,50
2018-08-19,48
2018-08-20,60
2018-08-21,63
2018-08-22,61
2018-08-23,56
2018-08-24,55
2018-08-25,49
2018-08-26,46
2018-08-27,58
2018-08-28,62
2018-08-29,55
2018-08-30,57
2018-08-31,55
2018-09-01,52
2018-09-02,56
2018-09-03,53
2018-09-04,59
2018-09-05,68
2018-09-06,71
2018-09-07,55
2018-09-08,59
2018-09-09,55
2018-09-10,55
2018-09-11,64
2018-09-12,72
2018-09-13,63
2018-09-14,54
2018-09-15,50
2018-09-16,46
2018-09-17,57
2018-09-18,57
2018-09-19,57
2018-09-20,60
2018-09-21,72
2018-09-22,55
2018-09-23,53
2018-09-24,54
2018-09-25,59
2018-09-26,60
2018-09-27,54
2018-09-28,55
2018-09-29,47
2018-09-30,54
2018-10-01,52
2018-10-02,48
2018-10-03,53
2018-10-04,57
2018-10-05,51
2018-10-06,44
2018-10-07,34
2018-10-08,47
2018-10-09,50
2018-10-10,51
2018-10-11,72
2018-10-12,51
2018-10-13,42
2018-10-14,41
2018-10-15,58
2018-10-16,58
2018-10-17,54
2018-10-18,55
2018-10-19,46
2018-10-20,46
2018-10-21,43
2018-10-22,50
2018-10-23,51
2018-10-24,55
2018-10-25,55
2018-10-26,50
2018-10-27,42
2018-10-28,40
2018-10-29,51
2018-10-30,47
2018-10-31,47
2018-11-01,48
2018-11-02,48
2018-11-03,41
2018-11-04,46
2018-11-05,52
2018-11-06,54
2018-11-07,49
2018-11-08,52
2018-11-09,51
2018-11-10,42
2018-11-11,42
2018-11-12,46
2018-11-13,50
2018-11-14,73
2018-11-15,61
2018-11-16,52
2018-11-17,47
2018-11-18,45
2018-11-19,71
2018-11-20,79
2018-11-21,59
2018-11-22,43
2018-11-23,53
2018-11-24,50
2018-11-25,69
2018-11-26,57
2018-11-27,57
2018-11-28,56
2018-11-29,51
2018-11-30,61
2018-12-01,45
2018-12-02,41
2018-12-03,48
2018-12-04,48
2018-12-05,47
2018-12-06,49
2018-12-07,67
2018-12-08,40
2018-12-09,40
2018-12-10,45
2018-12-11,42
2018-12-12,44
2018-12-13,48
2018-12-14,44
2018-12-15,41
2018-12-16,40
2018-12-17,48
2018-12-18,48
2018-12-19,49
2018-12-20,53
2018-12-21,45
2018-12-22,43
2018-12-23,41
2018-12-24,52
2018-12-25,39
2018-12-26,41
2018-12-27,39
2018-12-28,44
2018-12-29,42
2018-12-30,33
2018-12-31,35
2019-01-01,35
2019-01-02,44
2019-01-03,39
2019-01-04,42
2019-01-05,39
2019-01-06,38
2019-01-07,41
2019-01-08,44
2019-01-09,45
2019-01-10,53
2019-01-11,38
2019-01-12,31
2019-01-13,41
2019-01-14,38
2019-01-15,39
2019-01-16,38
2019-01-17,34
2019-01-18,38
2019-01-19,32
2019-01-20,33
2019-01-21,37
2019-01-22,37
2019-01-23,40
2019-01-24,39
2019-01-25,37
2019-01-26,32
2019-01-27,33
2019-01-28,41
2019-01-29,42
2019-01-30,37
2019-01-31,35
2019-02-01,39
2019-02-02,33
2019-02-03,36
2019-02-04,42
2019-02-05,69
2019-02-06,57
2019-02-07,50
2019-02-08,46
2019-02-09,40
2019-02-10,36
2019-02-11,39
2019-02-12,37
2019-02-13,35
2019-02-14,45
2019-02-15,44
2019-02-16,34
2019-02-17,35
2019-02-18,49
2019-02-19,47
2019-02-20,44
2019-02-21,40
2019-02-22,38
2019-02-23,41
2019-02-24,46
2019-02-25,41
2019-02-26,40
2019-02-27,36
2019-02-28,35
