Category: All categories

Day,cryptocurrency: (Worldwide)
2016-03-01,29
2016-03-02,48
2016-03-03,30
2016-03-04,20
2016-03-05,43
2016-03-06,33
2016-03-07,59
2016-03-08,41
2016-03-09,51
2016-03-10,45
2016-03-11,40
2016-03-12,50
2016-03-13,29
2016-03-14,38
2016-03-15,55
2016-03-16,49
2016-03-17,30
2016-03-18,38
2016-03-19,30
2016-03-20,44
2016-03-21,28
2016-03-22,43
2016-03-23,54
2016-03-24,43
2016-03-25,41
2016-03-26,25
2016-03-27,28
2016-03-28,44
2016-03-29,42
2016-03-30,40
2016-03-31,49
2016-04-01,44
2016-04-02,36
2016-04-03,45
2016-04-04,43
2016-04-05,45
2016-04-06,52
2016-04-07,39
2016-04-08,48
2016-04-09,53
2016-04-10,42
2016-04-11,45
2016-04-12,37
2016-04-13,51
2016-04-14,29
2016-04-15,35
2016-04-16,41
2016-04-17,35
2016-04-18,37
2016-04-19,44
2016-04-20,26
2016-04-21,20
2016-04-22,21
2016-04-23,38
2016-04-24,40
2016-04-25,26
2016-04-26,34
2016-04-27,31
2016-04-28,22
2016-04-29,38
2016-04-30,34
2016-05-01,38
2016-05-02,47
2016-05-03,42
2016-05-04,38
2016-05-05,37
2016-05-06,45
2016-05-07,31
2016-05-08,42
2016-05-09,18
2016-05-10,54
2016-05-11,26
2016-05-12,33
2016-05-13,41
2016-05-14,33
2016-05-15,40
2016-05-16,36
2016-05-17,22
2016-05-18,31
2016-05-19,40
2016-05-20,51
2016-05-21,29
2016-05-22,33
2016-05-23,44
2016-05-24,53
2016-05-25,47
2016-05-26,42
2016-05-27,36
2016-05-28,53
2016-05-29,68
2016-05-30,52
2016-05-31,31
2016-06-01,47
2016-06-02,54
2016-06-03,30
2016-06-04,32
2016-06-05,41
2016-06-06,50
2016-06-07,42
2016-06-08,40
2016-06-09,41
2016-06-10,44
2016-06-11,60
2016-06-12,50
2016-06-13,58
2016-06-14,75
2016-06-15,63
2016-06-16,57
2016-06-17,67
2016-06-18,65
2016-06-19,82
2016-06-20,39
2016-06-21,61
2016-06-22,57
2016-06-23,68
2016-06-24,60
2016-06-25,70
2016-06-26,70
2016-06-27,59
2016-06-28,71
2016-06-29,51
2016-06-30,34
2016-07-01,68
2016-07-02,52
2016-07-03,64
2016-07-04,49
2016-07-05,49
2016-07-06,54
2016-07-07,56
2016-07-08,41
2016-07-09,30
2016-07-10,45
2016-07-11,51
2016-07-12,53
2016-07-13,55
2016-07-14,78
2016-07-15,50
2016-07-16,67
2016-07-17,79
2016-07-18,56
2016-07-19,55
2016-07-20,78
2016-07-21,68
2016-07-22,56
2016-07-23,35
2016-07-24,49
2016-07-25,39
2016-07-26,53
2016-07-27,55
2016-07-28,45
2016-07-29,43
2016-07-30,57
2016-07-31,70
2016-08-01,60
2016-08-02,57
2016-08-03,79
2016-08-04,79
2016-08-05,43
2016-08-06,43
2016-08-07,64
2016-08-08,40
2016-08-09,45
2016-08-10,55
2016-08-11,49
2016-08-12,40
2016-08-13,59
2016-08-14,68
2016-08-15,61
2016-08-16,52
2016-08-17,64
2016-08-18,54
2016-08-19,39
2016-08-20,57
2016-08-21,56
2016-08-22,39
2016-08-23,48
2016-08-24,59
2016-08-25,62
2016-08-26,52
2016-08-27,48
2016-08-28,53
2016-08-29,57
2016-08-30,45
2016-08-31,61
2016-09-01,62
2016-09-02,57
2016-09-03,55
2016-09-04,64
2016-09-05,62
2016-09-06,61
2016-09-07,52
2016-09-08,55
2016-09-09,71
2016-09-10,56
2016-09-11,73
2016-09-12,39
2016-09-13,72
2016-09-14,65
2016-09-15,75
2016-09-16,68
2016-09-17,67
2016-09-18,60
2016-09-19,60
2016-09-20,65
2016-09-21,53
2016-09-22,82
2016-09-23,65
2016-09-24,70
2016-09-25,49
2016-09-26,54
2016-09-27,46
2016-09-28,53
2016-09-29,51
2016-09-30,66
2016-10-01,63
2016-10-02,78
2016-10-03,44
2016-10-04,63
2016-10-05,65
2016-10-06,59
2016-10-07,60
2016-10-08,64
2016-10-09,55
2016-10-10,72
2016-10-11,43
2016-10-12,63
2016-10-13,100
2016-10-14,64
2016-10-15,69
2016-10-16,52
2016-10-17,65
2016-10-18,79
2016-10-19,72
2016-10-20,78
2016-10-21,67
2016-10-22,57
2016-10-23,66
2016-10-24,82
2016-10-25,56
2016-10-26,75
2016-10-27,55
2016-10-28,74
2016-10-29,76
2016-10-30,64
2016-10-31,63
