Category: All categories

Day,xrp: (Worldwide)
2022-01-01,51
2022-01-02,57
2022-01-03,53
2022-01-04,54
2022-01-05,52
2022-01-06,58
2022-01-07,51
2022-01-08,53
2022-01-09,45
2022-01-10,50
2022-01-11,48
2022-01-12,52
2022-01-13,53
2022-01-14,47
2022-01-15,45
2022-01-16,44
2022-01-17,42
2022-01-18,41
2022-01-19,41
2022-01-20,44
2022-01-21,58
2022-01-22,62
2022-01-23,51
2022-01-24,54
2022-01-25,45
2022-01-26,50
2022-01-27,40
2022-01-28,39
2022-01-29,41
2022-01-30,43
2022-01-31,40
2022-02-01,42
2022-02-02,42
2022-02-03,35
2022-02-04,41
2022-02-05,48
2022-02-06,40
2022-02-07,92
2022-02-08,100
2022-02-09,74
2022-02-10,60
2022-02-11,49
2022-02-12,54
2022-02-13,49
2022-02-14,46
2022-02-15,48
2022-02-16,49
2022-02-17,60
2022-02-18,57
2022-02-19,63
2022-02-20,52
2022-02-21,49
2022-02-22,52
2022-02-23,45
2022-02-24,54
2022-02-25,44
2022-02-26,49
2022-02-27,46
2022-02-28,51
2022-03-01,58
2022-03-02,48
2022-03-03,47
2022-03-04,45
2022-03-05,47
2022-03-06,42
2022-03-07,47
2022-03-08,46
2022-03-09,45
2022-03-10,48
2022-03-11,55
2022-03-12,78
2022-03-13,48
2022-03-14,45
2022-03-15,41
2022-03-16,43
2022-03-17,43
2022-03-18,42
2022-03-19,50
2022-03-20,44
2022-03-21,54
2022-03-22,56
2022-03-23,48
2022-03-24,49
2022-03-25,43
2022-03-26,40
2022-03-27,43
2022-03-28,68
2022-03-29,53
2022-03-30,47
2022-03-31,49
