Category: All categories

Day,xrp: (Worldwide)
2016-10-01,3
2016-10-02,2
2016-10-03,3
2016-10-04,1
2016-10-05,4
2016-10-06,4
2016-10-07,2
2016-10-08,3
2016-10-09,4
2016-10-10,7
2016-10-11,4
2016-10-12,3
2016-10-13,3
2016-10-14,3
2016-10-15,6
2016-10-16,5
2016-10-17,6
2016-10-18,3
2016-10-19,7
2016-10-20,4
2016-10-21,5
2016-10-22,3
2016-10-23,5
2016-10-24,5
2016-10-25,5
2016-10-26,4
2016-10-27,3
2016-10-28,1
2016-10-29,3
2016-10-30,3
2016-10-31,4
2016-11-01,3
2016-11-02,3
2016-11-03,3
2016-11-04,2
2016-11-05,2
2016-11-06,3
2016-11-07,4
2016-11-08,3
2016-11-09,2
2016-11-10,2
2016-11-11,3
2016-11-12,2
2016-11-13,1
2016-11-14,3
2016-11-15,4
2016-11-16,4
2016-11-17,3
2016-11-18,3
2016-11-19,2
2016-11-20,4
2016-11-21,5
2016-11-22,5
2016-11-23,4
2016-11-24,3
2016-11-25,3
2016-11-26,2
2016-11-27,3
2016-11-28,3
2016-11-29,3
2016-11-30,3
2016-12-01,3
2016-12-02,6
2016-12-03,3
2016-12-04,3
2016-12-05,3
2016-12-06,3
2016-12-07,5
2016-12-08,5
2016-12-09,2
2016-12-10,<1
2016-12-11,2
2016-12-12,3
2016-12-13,4
2016-12-14,5
2016-12-15,2
2016-12-16,4
2016-12-17,3
2016-12-18,3
2016-12-19,2
2016-12-20,4
2016-12-21,3
2016-12-22,2
2016-12-23,5
2016-12-24,3
2016-12-25,1
2016-12-26,2
2016-12-27,4
2016-12-28,5
2016-12-29,3
2016-12-30,4
2016-12-31,4
2017-01-01,2
2017-01-02,3
2017-01-03,3
2017-01-04,5
2017-01-05,6
2017-01-06,4
2017-01-07,5
2017-01-08,2
2017-01-09,2
2017-01-10,6
2017-01-11,9
2017-01-12,8
2017-01-13,5
2017-01-14,4
2017-01-15,4
2017-01-16,3
2017-01-17,4
2017-01-18,4
2017-01-19,5
2017-01-20,2
2017-01-21,4
2017-01-22,5
2017-01-23,1
2017-01-24,4
2017-01-25,3
2017-01-26,2
2017-01-27,3
2017-01-28,4
2017-01-29,2
2017-01-30,2
2017-01-31,2
2017-02-01,4
2017-02-02,4
2017-02-03,3
2017-02-04,5
2017-02-05,3
2017-02-06,3
2017-02-07,2
2017-02-08,4
2017-02-09,2
2017-02-10,4
2017-02-11,4
2017-02-12,3
2017-02-13,4
2017-02-14,2
2017-02-15,3
2017-02-16,5
2017-02-17,3
2017-02-18,3
2017-02-19,3
2017-02-20,4
2017-02-21,6
2017-02-22,4
2017-02-23,6
2017-02-24,5
2017-02-25,4
2017-02-26,6
2017-02-27,3
2017-02-28,3
2017-03-01,4
2017-03-02,5
2017-03-03,6
2017-03-04,4
2017-03-05,5
2017-03-06,4
2017-03-07,4
2017-03-08,5
2017-03-09,3
2017-03-10,4
2017-03-11,3
2017-03-12,5
2017-03-13,5
2017-03-14,2
2017-03-15,6
2017-03-16,3
2017-03-17,3
2017-03-18,4
2017-03-19,3
2017-03-20,4
2017-03-21,5
2017-03-22,5
2017-03-23,10
2017-03-24,13
2017-03-25,6
2017-03-26,6
2017-03-27,6
2017-03-28,6
2017-03-29,7
2017-03-30,11
2017-03-31,20
2017-04-01,19
2017-04-02,39
2017-04-03,30
2017-04-04,20
2017-04-05,18
2017-04-06,12
2017-04-07,10
2017-04-08,13
2017-04-09,11
2017-04-10,8
2017-04-11,7
2017-04-12,10
2017-04-13,9
2017-04-14,9
2017-04-15,7
2017-04-16,7
2017-04-17,8
2017-04-18,10
2017-04-19,8
2017-04-20,11
2017-04-21,13
2017-04-22,7
2017-04-23,6
2017-04-24,6
2017-04-25,8
2017-04-26,10
2017-04-27,10
2017-04-28,21
2017-04-29,23
2017-04-30,15
2017-05-01,18
2017-05-02,14
2017-05-03,16
2017-05-04,32
2017-05-05,45
2017-05-06,34
2017-05-07,48
2017-05-08,68
2017-05-09,52
2017-05-10,38
2017-05-11,34
2017-05-12,33
2017-05-13,38
2017-05-14,30
2017-05-15,53
2017-05-16,90
2017-05-17,100
2017-05-18,63
2017-05-19,60
2017-05-20,51
2017-05-21,49
2017-05-22,76
2017-05-23,57
2017-05-24,70
2017-05-25,76
2017-05-26,64
2017-05-27,60
2017-05-28,45
2017-05-29,46
2017-05-30,50
2017-05-31,53
