Category: All categories

Day,xrp: (Worldwide)
2018-07-01,11
2018-07-02,14
2018-07-03,15
2018-07-04,12
2018-07-05,12
2018-07-06,11
2018-07-07,9
2018-07-08,11
2018-07-09,12
2018-07-10,13
2018-07-11,11
2018-07-12,12
2018-07-13,13
2018-07-14,12
2018-07-15,10
2018-07-16,13
2018-07-17,16
2018-07-18,21
2018-07-19,15
2018-07-20,13
2018-07-21,10
2018-07-22,12
2018-07-23,16
2018-07-24,16
2018-07-25,15
2018-07-26,14
2018-07-27,13
2018-07-28,11
2018-07-29,11
2018-07-30,14
2018-07-31,15
2018-08-01,15
2018-08-02,13
2018-08-03,14
2018-08-04,12
2018-08-05,11
2018-08-06,15
2018-08-07,19
2018-08-08,23
2018-08-09,14
2018-08-10,15
2018-08-11,17
2018-08-12,12
2018-08-13,18
2018-08-14,23
2018-08-15,17
2018-08-16,16
2018-08-17,19
2018-08-18,15
2018-08-19,15
2018-08-20,17
2018-08-21,15
2018-08-22,14
2018-08-23,13
2018-08-24,14
2018-08-25,11
2018-08-26,13
2018-08-27,12
2018-08-28,15
2018-08-29,13
2018-08-30,13
2018-08-31,13
2018-09-01,13
2018-09-02,13
2018-09-03,12
2018-09-04,13
2018-09-05,15
2018-09-06,15
2018-09-07,13
2018-09-08,12
2018-09-09,12
2018-09-10,14
2018-09-11,15
2018-09-12,14
2018-09-13,13
2018-09-14,13
2018-09-15,11
2018-09-16,11
2018-09-17,15
2018-09-18,28
2018-09-19,25
2018-09-20,41
2018-09-21,100
2018-09-22,48
2018-09-23,37
2018-09-24,33
2018-09-25,34
2018-09-26,41
2018-09-27,29
2018-09-28,27
2018-09-29,25
2018-09-30,33
2018-10-01,35
2018-10-02,34
2018-10-03,26
2018-10-04,23
2018-10-05,21
2018-10-06,24
2018-10-07,18
2018-10-08,22
2018-10-09,19
2018-10-10,21
2018-10-11,23
2018-10-12,22
2018-10-13,17
2018-10-14,17
2018-10-15,24
2018-10-16,24
2018-10-17,25
2018-10-18,20
2018-10-19,20
2018-10-20,15
2018-10-21,18
2018-10-22,19
2018-10-23,19
2018-10-24,22
2018-10-25,20
2018-10-26,18
2018-10-27,16
2018-10-28,16
2018-10-29,18
2018-10-30,17
2018-10-31,16
2018-11-01,19
2018-11-02,22
2018-11-03,17
2018-11-04,18
2018-11-05,29
2018-11-06,44
2018-11-07,26
2018-11-08,22
2018-11-09,22
2018-11-10,17
2018-11-11,18
2018-11-12,21
2018-11-13,23
2018-11-14,26
2018-11-15,29
2018-11-16,26
2018-11-17,23
2018-11-18,29
2018-11-19,33
2018-11-20,34
2018-11-21,27
2018-11-22,22
2018-11-23,19
2018-11-24,20
2018-11-25,26
2018-11-26,22
2018-11-27,21
2018-11-28,24
2018-11-29,21
2018-11-30,20
2018-12-01,16
2018-12-02,14
2018-12-03,19
2018-12-04,19
2018-12-05,21
2018-12-06,20
2018-12-07,24
2018-12-08,17
2018-12-09,18
2018-12-10,19
2018-12-11,19
2018-12-12,18
2018-12-13,19
2018-12-14,18
2018-12-15,16
2018-12-16,17
2018-12-17,20
2018-12-18,25
2018-12-19,26
2018-12-20,25
2018-12-21,19
2018-12-22,15
2018-12-23,19
2018-12-24,34
2018-12-25,20
2018-12-26,19
2018-12-27,18
2018-12-28,20
2018-12-29,16
2018-12-30,18
2018-12-31,16
2019-01-01,16
2019-01-02,20
2019-01-03,19
2019-01-04,15
2019-01-05,15
2019-01-06,16
2019-01-07,19
2019-01-08,17
2019-01-09,17
2019-01-10,19
2019-01-11,15
2019-01-12,13
2019-01-13,15
2019-01-14,16
2019-01-15,15
2019-01-16,16
2019-01-17,15
2019-01-18,14
2019-01-19,15
2019-01-20,11
2019-01-21,13
2019-01-22,12
2019-01-23,12
2019-01-24,13
2019-01-25,12
2019-01-26,11
2019-01-27,12
2019-01-28,15
2019-01-29,15
2019-01-30,22
2019-01-31,18
2019-02-01,13
2019-02-02,12
2019-02-03,12
2019-02-04,12
2019-02-05,14
2019-02-06,13
2019-02-07,13
2019-02-08,14
2019-02-09,13
2019-02-10,12
2019-02-11,13
2019-02-12,13
2019-02-13,13
2019-02-14,14
2019-02-15,12
2019-02-16,11
2019-02-17,11
2019-02-18,16
2019-02-19,19
2019-02-20,15
2019-02-21,14
2019-02-22,14
2019-02-23,13
2019-02-24,15
2019-02-25,22
2019-02-26,26
2019-02-27,17
2019-02-28,18
