Category: All categories

Day,xrp: (Worldwide)
2015-08-01,13
2015-08-02,20
2015-08-03,54
2015-08-04,49
2015-08-05,22
2015-08-06,60
2015-08-07,58
2015-08-08,79
2015-08-09,72
2015-08-10,43
2015-08-11,76
2015-08-12,44
2015-08-13,33
2015-08-14,51
2015-08-15,26
2015-08-16,57
2015-08-17,21
2015-08-18,21
2015-08-19,38
2015-08-20,27
2015-08-21,28
2015-08-22,51
2015-08-23,38
2015-08-24,26
2015-08-25,37
2015-08-26,11
2015-08-27,64
2015-08-28,11
2015-08-29,32
2015-08-30,57
2015-08-31,36
2015-09-01,36
2015-09-02,26
2015-09-03,32
2015-09-04,33
2015-09-05,43
2015-09-06,68
2015-09-07,32
2015-09-08,15
2015-09-09,36
2015-09-10,36
2015-09-11,38
2015-09-12,49
2015-09-13,47
2015-09-14,41
2015-09-15,62
2015-09-16,82
2015-09-17,25
2015-09-18,44
2015-09-19,30
2015-09-20,30
2015-09-21,61
2015-09-22,61
2015-09-23,36
2015-09-24,32
2015-09-25,39
2015-09-26,43
2015-09-27,42
2015-09-28,60
2015-09-29,56
2015-09-30,41
2015-10-01,66
2015-10-02,21
2015-10-03,18
2015-10-04,18
2015-10-05,41
2015-10-06,46
2015-10-07,25
2015-10-08,66
2015-10-09,32
2015-10-10,42
2015-10-11,30
2015-10-12,58
2015-10-13,40
2015-10-14,30
2015-10-15,56
2015-10-16,68
2015-10-17,36
2015-10-18,18
2015-10-19,40
2015-10-20,60
2015-10-21,45
2015-10-22,57
2015-10-23,32
2015-10-24,30
2015-10-25,23
2015-10-26,64
2015-10-27,60
2015-10-28,61
2015-10-29,25
2015-10-30,32
2015-10-31,55
2015-11-01,36
2015-11-02,50
2015-11-03,55
2015-11-04,50
2015-11-05,50
2015-11-06,63
2015-11-07,35
2015-11-08,41
2015-11-09,45
2015-11-10,50
2015-11-11,45
2015-11-12,28
2015-11-13,29
2015-11-14,38
2015-11-15,32
2015-11-16,43
2015-11-17,32
2015-11-18,22
2015-11-19,77
2015-11-20,29
2015-11-21,38
2015-11-22,51
2015-11-23,71
2015-11-24,49
2015-11-25,32
2015-11-26,51
2015-11-27,57
2015-11-28,32
2015-11-29,44
2015-11-30,42
2015-12-01,49
2015-12-02,44
2015-12-03,22
2015-12-04,23
2015-12-05,32
2015-12-06,32
2015-12-07,22
2015-12-08,38
2015-12-09,48
2015-12-10,39
2015-12-11,63
2015-12-12,32
2015-12-13,44
2015-12-14,48
2015-12-15,34
2015-12-16,45
2015-12-17,35
2015-12-18,49
2015-12-19,27
2015-12-20,67
2015-12-21,64
2015-12-22,47
2015-12-23,25
2015-12-24,14
2015-12-25,45
2015-12-26,21
2015-12-27,34
2015-12-28,30
2015-12-29,48
2015-12-30,30
2015-12-31,27
2016-01-01,8
2016-01-02,7
2016-01-03,27
2016-01-04,100
2016-01-05,24
2016-01-06,48
2016-01-07,47
2016-01-08,30
2016-01-09,46
2016-01-10,19
2016-01-11,34
2016-01-12,28
2016-01-13,23
2016-01-14,75
2016-01-15,36
2016-01-16,53
2016-01-17,19
2016-01-18,35
2016-01-19,23
2016-01-20,63
2016-01-21,22
2016-01-22,44
2016-01-23,54
2016-01-24,48
2016-01-25,42
2016-01-26,31
2016-01-27,16
2016-01-28,21
2016-01-29,44
2016-01-30,31
2016-01-31,6
2016-02-01,68
2016-02-02,16
2016-02-03,37
2016-02-04,32
2016-02-05,39
2016-02-06,25
2016-02-07,98
2016-02-08,43
2016-02-09,5
2016-02-10,32
2016-02-11,48
2016-02-12,49
2016-02-13,18
2016-02-14,48
2016-02-15,21
2016-02-16,31
2016-02-17,57
2016-02-18,42
2016-02-19,27
2016-02-20,30
2016-02-21,54
2016-02-22,32
2016-02-23,51
2016-02-24,37
2016-02-25,53
2016-02-26,39
2016-02-27,42
2016-02-28,72
2016-02-29,61
2016-03-01,41
2016-03-02,57
2016-03-03,58
2016-03-04,54
2016-03-05,30
2016-03-06,24
2016-03-07,68
2016-03-08,46
2016-03-09,58
2016-03-10,21
2016-03-11,38
2016-03-12,49
2016-03-13,30
2016-03-14,47
2016-03-15,42
2016-03-16,37
2016-03-17,27
2016-03-18,33
2016-03-19,18
2016-03-20,48
2016-03-21,69
2016-03-22,47
2016-03-23,59
2016-03-24,61
2016-03-25,24
2016-03-26,6
2016-03-27,32
2016-03-28,38
2016-03-29,57
2016-03-30,63
2016-03-31,53
