Category: All categories

Day,xrp: (Worldwide)
2019-02-01,25
2019-02-02,24
2019-02-03,24
2019-02-04,24
2019-02-05,27
2019-02-06,26
2019-02-07,25
2019-02-08,27
2019-02-09,26
2019-02-10,23
2019-02-11,25
2019-02-12,25
2019-02-13,26
2019-02-14,27
2019-02-15,24
2019-02-16,22
2019-02-17,22
2019-02-18,31
2019-02-19,37
2019-02-20,30
2019-02-21,27
2019-02-22,27
2019-02-23,26
2019-02-24,30
2019-02-25,44
2019-02-26,50
2019-02-27,34
2019-02-28,36
2019-03-01,53
2019-03-02,31
2019-03-03,27
2019-03-04,31
2019-03-05,30
2019-03-06,31
2019-03-07,30
2019-03-08,28
2019-03-09,22
2019-03-10,25
2019-03-11,26
2019-03-12,28
2019-03-13,27
2019-03-14,26
2019-03-15,24
2019-03-16,25
2019-03-17,23
2019-03-18,27
2019-03-19,25
2019-03-20,24
2019-03-21,24
2019-03-22,23
2019-03-23,20
2019-03-24,20
2019-03-25,22
2019-03-26,24
2019-03-27,23
2019-03-28,24
2019-03-29,23
2019-03-30,25
2019-03-31,20
2019-04-01,28
2019-04-02,48
2019-04-03,60
2019-04-04,38
2019-04-05,43
2019-04-06,33
2019-04-07,33
2019-04-08,32
2019-04-09,30
2019-04-10,32
2019-04-11,30
2019-04-12,25
2019-04-13,22
2019-04-14,20
2019-04-15,24
2019-04-16,26
2019-04-17,30
2019-04-18,31
2019-04-19,26
2019-04-20,23
2019-04-21,21
2019-04-22,30
2019-04-23,29
2019-04-24,30
2019-04-25,27
2019-04-26,24
2019-04-27,23
2019-04-28,23
2019-04-29,21
2019-04-30,33
2019-05-01,33
2019-05-02,26
2019-05-03,29
2019-05-04,24
2019-05-05,24
2019-05-06,23
2019-05-07,26
2019-05-08,26
2019-05-09,27
2019-05-10,30
2019-05-11,39
2019-05-12,39
2019-05-13,46
2019-05-14,96
2019-05-15,100
2019-05-16,76
2019-05-17,49
2019-05-18,39
2019-05-19,49
2019-05-20,45
2019-05-21,41
2019-05-22,36
2019-05-23,35
2019-05-24,34
2019-05-25,35
2019-05-26,36
2019-05-27,51
2019-05-28,62
2019-05-29,57
2019-05-30,60
2019-05-31,45
2019-06-01,38
2019-06-02,39
2019-06-03,45
2019-06-04,44
2019-06-05,33
2019-06-06,41
2019-06-07,40
2019-06-08,32
2019-06-09,36
2019-06-10,31
2019-06-11,33
2019-06-12,30
2019-06-13,33
2019-06-14,31
2019-06-15,29
2019-06-16,43
2019-06-17,55
2019-06-18,56
2019-06-19,43
2019-06-20,40
2019-06-21,44
2019-06-22,75
2019-06-23,57
2019-06-24,54
2019-06-25,50
2019-06-26,82
2019-06-27,58
2019-06-28,43
2019-06-29,37
2019-06-30,39
2019-07-01,38
2019-07-02,38
2019-07-03,37
2019-07-04,30
2019-07-05,31
2019-07-06,33
2019-07-07,30
2019-07-08,34
2019-07-09,40
2019-07-10,42
2019-07-11,45
2019-07-12,34
2019-07-13,27
2019-07-14,33
2019-07-15,35
2019-07-16,37
2019-07-17,35
2019-07-18,26
2019-07-19,27
2019-07-20,30
2019-07-21,27
2019-07-22,30
2019-07-23,29
2019-07-24,30
2019-07-25,26
2019-07-26,24
2019-07-27,22
2019-07-28,21
2019-07-29,25
2019-07-30,29
2019-07-31,31
2019-08-01,25
2019-08-02,26
2019-08-03,23
2019-08-04,26
2019-08-05,30
2019-08-06,31
2019-08-07,26
2019-08-08,26
2019-08-09,28
2019-08-10,24
2019-08-11,24
2019-08-12,27
2019-08-13,25
2019-08-14,36
2019-08-15,34
2019-08-16,27
2019-08-17,24
2019-08-18,31
2019-08-19,29
2019-08-20,26
2019-08-21,28
2019-08-22,27
2019-08-23,26
2019-08-24,22
2019-08-25,23
2019-08-26,23
2019-08-27,24
2019-08-28,23
2019-08-29,27
2019-08-30,23
2019-08-31,21
2019-09-01,22
2019-09-02,24
2019-09-03,27
2019-09-04,24
2019-09-05,23
2019-09-06,23
2019-09-07,22
2019-09-08,23
2019-09-09,21
2019-09-10,24
2019-09-11,25
2019-09-12,26
2019-09-13,24
2019-09-14,24
2019-09-15,22
2019-09-16,24
2019-09-17,44
2019-09-18,62
2019-09-19,37
2019-09-20,32
2019-09-21,24
2019-09-22,25
2019-09-23,29
2019-09-24,31
2019-09-25,35
2019-09-26,28
2019-09-27,24
2019-09-28,21
2019-09-29,21
2019-09-30,25
