Category: All categories

Day,eth: (Worldwide)
2018-07-01,51
2018-07-02,64
2018-07-03,68
2018-07-04,62
2018-07-05,61
2018-07-06,63
2018-07-07,48
2018-07-08,51
2018-07-09,67
2018-07-10,61
2018-07-11,57
2018-07-12,55
2018-07-13,59
2018-07-14,45
2018-07-15,48
2018-07-16,64
2018-07-17,69
2018-07-18,75
2018-07-19,69
2018-07-20,63
2018-07-21,54
2018-07-22,54
2018-07-23,69
2018-07-24,71
2018-07-25,68
2018-07-26,67
2018-07-27,62
2018-07-28,54
2018-07-29,47
2018-07-30,62
2018-07-31,60
2018-08-01,67
2018-08-02,66
2018-08-03,66
2018-08-04,47
2018-08-05,52
2018-08-06,65
2018-08-07,69
2018-08-08,80
2018-08-09,72
2018-08-10,60
2018-08-11,68
2018-08-12,62
2018-08-13,86
2018-08-14,100
2018-08-15,86
2018-08-16,73
2018-08-17,69
2018-08-18,57
2018-08-19,55
2018-08-20,65
2018-08-21,71
2018-08-22,63
2018-08-23,63
2018-08-24,68
2018-08-25,50
2018-08-26,48
2018-08-27,69
2018-08-28,72
2018-08-29,74
2018-08-30,66
2018-08-31,60
2018-09-01,52
2018-09-02,54
2018-09-03,75
2018-09-04,77
2018-09-05,83
2018-09-06,79
2018-09-07,71
2018-09-08,72
2018-09-09,73
2018-09-10,81
2018-09-11,82
2018-09-12,95
2018-09-13,93
2018-09-14,80
2018-09-15,60
2018-09-16,64
2018-09-17,95
2018-09-18,97
2018-09-19,83
2018-09-20,75
2018-09-21,86
2018-09-22,64
2018-09-23,66
2018-09-24,77
2018-09-25,76
2018-09-26,75
2018-09-27,76
2018-09-28,64
2018-09-29,51
2018-09-30,56
2018-10-01,63
2018-10-02,66
2018-10-03,68
2018-10-04,72
2018-10-05,57
2018-10-06,49
2018-10-07,48
2018-10-08,73
2018-10-09,65
2018-10-10,71
2018-10-11,71
2018-10-12,70
2018-10-13,46
2018-10-14,58
2018-10-15,76
2018-10-16,60
2018-10-17,60
2018-10-18,61
2018-10-19,62
2018-10-20,45
2018-10-21,46
2018-10-22,60
2018-10-23,63
2018-10-24,58
2018-10-25,65
2018-10-26,43
2018-10-27,41
2018-10-28,48
2018-10-29,66
2018-10-30,69
2018-10-31,74
2018-11-01,67
2018-11-02,63
2018-11-03,48
2018-11-04,55
2018-11-05,59
2018-11-06,65
2018-11-07,62
2018-11-08,63
2018-11-09,60
2018-11-10,41
2018-11-11,44
2018-11-12,55
2018-11-13,65
2018-11-14,65
2018-11-15,72
2018-11-16,57
2018-11-17,43
2018-11-18,46
2018-11-19,78
2018-11-20,83
2018-11-21,75
2018-11-22,63
2018-11-23,67
2018-11-24,49
2018-11-25,72
2018-11-26,73
2018-11-27,75
2018-11-28,68
2018-11-29,69
2018-11-30,67
2018-12-01,49
2018-12-02,45
2018-12-03,58
2018-12-04,62
2018-12-05,66
2018-12-06,72
2018-12-07,89
2018-12-08,57
2018-12-09,54
2018-12-10,64
2018-12-11,62
2018-12-12,59
2018-12-13,61
2018-12-14,54
2018-12-15,43
2018-12-16,44
2018-12-17,60
2018-12-18,65
2018-12-19,62
2018-12-20,71
2018-12-21,56
2018-12-22,47
2018-12-23,60
2018-12-24,80
2018-12-25,63
2018-12-26,50
2018-12-27,49
2018-12-28,50
2018-12-29,57
2018-12-30,49
2018-12-31,43
2019-01-01,51
2019-01-02,76
2019-01-03,70
2019-01-04,64
2019-01-05,71
2019-01-06,62
2019-01-07,72
2019-01-08,78
2019-01-09,61
2019-01-10,76
2019-01-11,73
2019-01-12,54
2019-01-13,58
2019-01-14,68
2019-01-15,67
2019-01-16,67
2019-01-17,61
2019-01-18,53
2019-01-19,45
2019-01-20,46
2019-01-21,64
2019-01-22,57
2019-01-23,48
2019-01-24,50
2019-01-25,43
2019-01-26,41
2019-01-27,43
2019-01-28,55
2019-01-29,59
2019-01-30,57
2019-01-31,52
2019-02-01,48
2019-02-02,48
2019-02-03,43
2019-02-04,51
2019-02-05,48
2019-02-06,49
2019-02-07,55
2019-02-08,55
2019-02-09,45
2019-02-10,42
2019-02-11,54
2019-02-12,52
2019-02-13,53
2019-02-14,51
2019-02-15,51
2019-02-16,44
2019-02-17,54
2019-02-18,81
2019-02-19,88
2019-02-20,72
2019-02-21,67
2019-02-22,64
2019-02-23,48
2019-02-24,66
2019-02-25,72
2019-02-26,63
2019-02-27,68
2019-02-28,74
