Category: All categories

Day,eth: (Worldwide)
2021-06-01,49
2021-06-02,49
2021-06-03,51
2021-06-04,46
2021-06-05,41
2021-06-06,43
2021-06-07,44
2021-06-08,47
2021-06-09,42
2021-06-10,36
2021-06-11,36
2021-06-12,36
2021-06-13,34
2021-06-14,38
2021-06-15,36
2021-06-16,35
2021-06-17,33
2021-06-18,34
2021-06-19,34
2021-06-20,36
2021-06-21,48
2021-06-22,52
2021-06-23,43
2021-06-24,37
2021-06-25,38
2021-06-26,39
2021-06-27,33
2021-06-28,42
2021-06-29,42
2021-06-30,41
2021-07-01,35
2021-07-02,33
2021-07-03,36
2021-07-04,43
2021-07-05,39
2021-07-06,44
2021-07-07,42
2021-07-08,46
2021-07-09,41
2021-07-10,37
2021-07-11,32
2021-07-12,37
2021-07-13,42
2021-07-14,42
2021-07-15,38
2021-07-16,37
2021-07-17,33
2021-07-18,38
2021-07-19,36
2021-07-20,42
2021-07-21,37
2021-07-22,37
2021-07-23,40
2021-07-24,40
2021-07-25,40
2021-07-26,51
2021-07-27,41
2021-07-28,43
2021-07-29,37
2021-07-30,40
2021-07-31,41
2021-08-01,49
2021-08-02,51
2021-08-03,49
2021-08-04,58
2021-08-05,84
2021-08-06,69
2021-08-07,79
2021-08-08,65
2021-08-09,61
2021-08-10,59
2021-08-11,61
2021-08-12,55
2021-08-13,52
2021-08-14,53
2021-08-15,52
2021-08-16,54
2021-08-17,47
2021-08-18,48
2021-08-19,48
2021-08-20,53
2021-08-21,48
2021-08-22,46
2021-08-23,56
2021-08-24,54
2021-08-25,52
2021-08-26,50
2021-08-27,49
2021-08-28,51
2021-08-29,50
2021-08-30,52
2021-08-31,56
2021-09-01,73
2021-09-02,68
2021-09-03,73
2021-09-04,58
2021-09-05,58
2021-09-06,59
2021-09-07,74
2021-09-08,58
2021-09-09,53
2021-09-10,47
2021-09-11,45
2021-09-12,45
2021-09-13,47
2021-09-14,42
2021-09-15,45
2021-09-16,46
2021-09-17,44
2021-09-18,39
2021-09-19,44
2021-09-20,52
2021-09-21,53
2021-09-22,45
2021-09-23,47
2021-09-24,51
2021-09-25,41
2021-09-26,41
2021-09-27,47
2021-09-28,46
2021-09-29,43
2021-09-30,44
2021-10-01,49
2021-10-02,44
2021-10-03,41
2021-10-04,49
2021-10-05,54
2021-10-06,61
2021-10-07,57
2021-10-08,51
2021-10-09,44
2021-10-10,46
2021-10-11,51
2021-10-12,51
2021-10-13,47
2021-10-14,59
2021-10-15,60
2021-10-16,57
2021-10-17,52
2021-10-18,53
2021-10-19,55
2021-10-20,71
2021-10-21,78
2021-10-22,58
2021-10-23,51
2021-10-24,47
2021-10-25,60
2021-10-26,60
2021-10-27,66
2021-10-28,62
2021-10-29,82
2021-10-30,67
2021-10-31,62
2021-11-01,63
2021-11-02,75
2021-11-03,80
2021-11-04,73
2021-11-05,63
2021-11-06,59
2021-11-07,63
2021-11-08,81
2021-11-09,78
2021-11-10,78
2021-11-11,67
2021-11-12,61
2021-11-13,59
2021-11-14,62
2021-11-15,63
2021-11-16,70
2021-11-17,70
2021-11-18,65
2021-11-19,63
2021-11-20,57
2021-11-21,57
2021-11-22,59
2021-11-23,60
2021-11-24,59
2021-11-25,60
2021-11-26,61
2021-11-27,49
2021-11-28,53
2021-11-29,60
2021-11-30,69
2021-12-01,68
2021-12-02,57
2021-12-03,56
2021-12-04,78
2021-12-05,59
2021-12-06,62
2021-12-07,58
2021-12-08,58
2021-12-09,58
2021-12-10,58
2021-12-11,58
2021-12-12,54
2021-12-13,63
2021-12-14,64
2021-12-15,60
2021-12-16,56
2021-12-17,63
2021-12-18,51
2021-12-19,50
2021-12-20,53
2021-12-21,53
2021-12-22,57
2021-12-23,58
2021-12-24,53
2021-12-25,52
2021-12-26,52
2021-12-27,57
2021-12-28,53
2021-12-29,59
2021-12-30,58
2021-12-31,48
2022-01-01,50
2022-01-02,60
2022-01-03,64
2022-01-04,61
2022-01-05,65
2022-01-06,81
2022-01-07,79
2022-01-08,74
2022-01-09,77
2022-01-10,73
2022-01-11,70
2022-01-12,75
2022-01-13,73
2022-01-14,71
2022-01-15,65
2022-01-16,67
2022-01-17,68
2022-01-18,65
2022-01-19,75
2022-01-20,70
2022-01-21,93
2022-01-22,100
2022-01-23,77
2022-01-24,89
2022-01-25,81
2022-01-26,77
2022-01-27,63
2022-01-28,65
2022-01-29,62
2022-01-30,69
2022-01-31,66
