Category: All categories

Day,eth: (Worldwide)
2015-08-01,36
2015-08-02,37
2015-08-03,54
2015-08-04,60
2015-08-05,52
2015-08-06,56
2015-08-07,43
2015-08-08,33
2015-08-09,38
2015-08-10,57
2015-08-11,55
2015-08-12,53
2015-08-13,56
2015-08-14,49
2015-08-15,37
2015-08-16,37
2015-08-17,63
2015-08-18,60
2015-08-19,57
2015-08-20,65
2015-08-21,51
2015-08-22,35
2015-08-23,41
2015-08-24,66
2015-08-25,58
2015-08-26,50
2015-08-27,59
2015-08-28,46
2015-08-29,39
2015-08-30,49
2015-08-31,62
2015-09-01,73
2015-09-02,64
2015-09-03,63
2015-09-04,54
2015-09-05,41
2015-09-06,53
2015-09-07,69
2015-09-08,65
2015-09-09,66
2015-09-10,59
2015-09-11,67
2015-09-12,46
2015-09-13,53
2015-09-14,88
2015-09-15,100
2015-09-16,92
2015-09-17,80
2015-09-18,74
2015-09-19,51
2015-09-20,56
2015-09-21,90
2015-09-22,84
2015-09-23,80
2015-09-24,84
2015-09-25,71
2015-09-26,47
2015-09-27,38
2015-09-28,75
2015-09-29,82
2015-09-30,61
2015-10-01,65
2015-10-02,68
2015-10-03,39
2015-10-04,43
2015-10-05,70
2015-10-06,72
2015-10-07,60
2015-10-08,63
2015-10-09,56
2015-10-10,36
2015-10-11,49
2015-10-12,67
2015-10-13,64
2015-10-14,68
2015-10-15,54
2015-10-16,57
2015-10-17,35
2015-10-18,44
2015-10-19,60
2015-10-20,62
2015-10-21,65
2015-10-22,74
2015-10-23,68
2015-10-24,43
2015-10-25,42
2015-10-26,62
2015-10-27,66
2015-10-28,73
2015-10-29,74
2015-10-30,59
2015-10-31,42
2015-11-01,42
2015-11-02,67
2015-11-03,71
2015-11-04,67
2015-11-05,59
2015-11-06,56
2015-11-07,44
2015-11-08,39
2015-11-09,60
2015-11-10,65
2015-11-11,58
2015-11-12,65
2015-11-13,58
2015-11-14,33
2015-11-15,44
2015-11-16,65
2015-11-17,64
2015-11-18,58
2015-11-19,65
2015-11-20,66
2015-11-21,35
2015-11-22,44
2015-11-23,63
2015-11-24,71
2015-11-25,66
2015-11-26,62
2015-11-27,57
2015-11-28,36
2015-11-29,47
2015-11-30,67
2015-12-01,73
2015-12-02,59
2015-12-03,65
2015-12-04,56
2015-12-05,41
2015-12-06,40
2015-12-07,69
2015-12-08,66
2015-12-09,60
2015-12-10,64
2015-12-11,65
2015-12-12,39
2015-12-13,53
2015-12-14,64
2015-12-15,68
2015-12-16,63
2015-12-17,69
2015-12-18,64
2015-12-19,49
2015-12-20,42
2015-12-21,46
2015-12-22,43
2015-12-23,52
2015-12-24,30
2015-12-25,39
2015-12-26,29
2015-12-27,43
2015-12-28,36
2015-12-29,46
2015-12-30,39
2015-12-31,34
2016-01-01,32
2016-01-02,38
2016-01-03,42
2016-01-04,72
2016-01-05,66
2016-01-06,70
2016-01-07,88
2016-01-08,88
2016-01-09,49
2016-01-10,50
2016-01-11,67
2016-01-12,65
2016-01-13,61
2016-01-14,69
2016-01-15,61
2016-01-16,48
2016-01-17,56
2016-01-18,72
2016-01-19,77
2016-01-20,70
2016-01-21,62
2016-01-22,71
2016-01-23,42
2016-01-24,48
2016-01-25,80
2016-01-26,69
2016-01-27,63
2016-01-28,63
2016-01-29,75
2016-01-30,43
2016-01-31,55
2016-02-01,70
2016-02-02,60
2016-02-03,62
2016-02-04,58
2016-02-05,48
2016-02-06,45
2016-02-07,45
2016-02-08,70
2016-02-09,78
2016-02-10,67
2016-02-11,75
2016-02-12,66
2016-02-13,43
2016-02-14,43
2016-02-15,71
2016-02-16,68
2016-02-17,64
2016-02-18,82
2016-02-19,71
2016-02-20,53
2016-02-21,59
2016-02-22,98
2016-02-23,83
2016-02-24,94
2016-02-25,86
2016-02-26,74
2016-02-27,55
2016-02-28,57
2016-02-29,79
2016-03-01,83
2016-03-02,86
2016-03-03,89
2016-03-04,76
2016-03-05,57
2016-03-06,58
2016-03-07,92
2016-03-08,74
2016-03-09,78
2016-03-10,91
2016-03-11,81
2016-03-12,63
2016-03-13,65
2016-03-14,86
2016-03-15,76
2016-03-16,83
2016-03-17,73
2016-03-18,72
2016-03-19,44
2016-03-20,54
2016-03-21,87
2016-03-22,63
2016-03-23,80
2016-03-24,75
2016-03-25,49
2016-03-26,36
2016-03-27,41
2016-03-28,56
2016-03-29,72
2016-03-30,68
2016-03-31,61
