Category: All categories

Day,eth: (Worldwide)
2019-02-01,40
2019-02-02,40
2019-02-03,36
2019-02-04,42
2019-02-05,40
2019-02-06,40
2019-02-07,45
2019-02-08,45
2019-02-09,38
2019-02-10,35
2019-02-11,45
2019-02-12,43
2019-02-13,44
2019-02-14,42
2019-02-15,42
2019-02-16,36
2019-02-17,45
2019-02-18,67
2019-02-19,73
2019-02-20,60
2019-02-21,56
2019-02-22,53
2019-02-23,40
2019-02-24,55
2019-02-25,60
2019-02-26,52
2019-02-27,56
2019-02-28,61
2019-03-01,52
2019-03-02,36
2019-03-03,42
2019-03-04,58
2019-03-05,54
2019-03-06,51
2019-03-07,49
2019-03-08,43
2019-03-09,31
2019-03-10,35
2019-03-11,53
2019-03-12,51
2019-03-13,41
2019-03-14,48
2019-03-15,41
2019-03-16,38
2019-03-17,39
2019-03-18,46
2019-03-19,51
2019-03-20,46
2019-03-21,49
2019-03-22,44
2019-03-23,35
2019-03-24,34
2019-03-25,47
2019-03-26,47
2019-03-27,46
2019-03-28,46
2019-03-29,44
2019-03-30,32
2019-03-31,34
2019-04-01,49
2019-04-02,63
2019-04-03,67
2019-04-04,62
2019-04-05,52
2019-04-06,44
2019-04-07,43
2019-04-08,61
2019-04-09,48
2019-04-10,60
2019-04-11,55
2019-04-12,42
2019-04-13,29
2019-04-14,38
2019-04-15,52
2019-04-16,46
2019-04-17,48
2019-04-18,39
2019-04-19,41
2019-04-20,40
2019-04-21,33
2019-04-22,40
2019-04-23,49
2019-04-24,42
2019-04-25,38
2019-04-26,42
2019-04-27,32
2019-04-28,32
2019-04-29,47
2019-04-30,52
2019-05-01,35
2019-05-02,48
2019-05-03,44
2019-05-04,35
2019-05-05,36
2019-05-06,44
2019-05-07,48
2019-05-08,48
2019-05-09,49
2019-05-10,50
2019-05-11,59
2019-05-12,58
2019-05-13,63
2019-05-14,74
2019-05-15,83
2019-05-16,86
2019-05-17,65
2019-05-18,53
2019-05-19,61
2019-05-20,56
2019-05-21,59
2019-05-22,56
2019-05-23,53
2019-05-24,49
2019-05-25,41
2019-05-26,47
2019-05-27,66
2019-05-28,57
2019-05-29,57
2019-05-30,56
2019-05-31,55
2019-06-01,39
2019-06-02,44
2019-06-03,53
2019-06-04,57
2019-06-05,47
2019-06-06,48
2019-06-07,47
2019-06-08,35
2019-06-09,35
2019-06-10,46
2019-06-11,55
2019-06-12,52
2019-06-13,51
2019-06-14,45
2019-06-15,42
2019-06-16,52
2019-06-17,59
2019-06-18,57
2019-06-19,54
2019-06-20,46
2019-06-21,67
2019-06-22,79
2019-06-23,65
2019-06-24,69
2019-06-25,69
2019-06-26,100
2019-06-27,77
2019-06-28,64
2019-06-29,51
2019-06-30,51
2019-07-01,58
2019-07-02,59
2019-07-03,57
2019-07-04,50
2019-07-05,55
2019-07-06,39
2019-07-07,39
2019-07-08,56
2019-07-09,68
2019-07-10,56
2019-07-11,56
2019-07-12,52
2019-07-13,40
2019-07-14,42
2019-07-15,64
2019-07-16,60
2019-07-17,61
2019-07-18,50
2019-07-19,46
2019-07-20,43
2019-07-21,39
2019-07-22,48
2019-07-23,45
2019-07-24,46
2019-07-25,40
2019-07-26,39
2019-07-27,37
2019-07-28,36
2019-07-29,39
2019-07-30,45
2019-07-31,41
2019-08-01,38
2019-08-02,48
2019-08-03,31
2019-08-04,35
2019-08-05,53
2019-08-06,55
2019-08-07,43
2019-08-08,47
2019-08-09,40
2019-08-10,37
2019-08-11,40
2019-08-12,41
2019-08-13,50
2019-08-14,49
2019-08-15,53
2019-08-16,40
2019-08-17,37
2019-08-18,42
2019-08-19,49
2019-08-20,47
2019-08-21,51
2019-08-22,46
2019-08-23,44
2019-08-24,32
2019-08-25,35
2019-08-26,43
2019-08-27,45
2019-08-28,49
2019-08-29,49
2019-08-30,43
2019-08-31,34
2019-09-01,36
2019-09-02,48
2019-09-03,50
2019-09-04,46
2019-09-05,48
2019-09-06,52
2019-09-07,39
2019-09-08,38
2019-09-09,46
2019-09-10,49
2019-09-11,43
2019-09-12,50
2019-09-13,47
2019-09-14,39
2019-09-15,45
2019-09-16,61
2019-09-17,72
2019-09-18,66
2019-09-19,66
2019-09-20,57
2019-09-21,43
2019-09-22,44
2019-09-23,53
2019-09-24,63
2019-09-25,59
2019-09-26,61
2019-09-27,51
2019-09-28,34
2019-09-29,33
2019-09-30,53
