Category: All categories

Day,eth: (Worldwide)
2017-05-01,27
2017-05-02,25
2017-05-03,23
2017-05-04,26
2017-05-05,28
2017-05-06,20
2017-05-07,20
2017-05-08,28
2017-05-09,28
2017-05-10,24
2017-05-11,24
2017-05-12,22
2017-05-13,17
2017-05-14,16
2017-05-15,23
2017-05-16,20
2017-05-17,21
2017-05-18,21
2017-05-19,29
2017-05-20,25
2017-05-21,27
2017-05-22,52
2017-05-23,42
2017-05-24,44
2017-05-25,50
2017-05-26,41
2017-05-27,32
2017-05-28,28
2017-05-29,34
2017-05-30,39
2017-05-31,46
2017-06-01,42
2017-06-02,33
2017-06-03,29
2017-06-04,33
2017-06-05,35
2017-06-06,42
2017-06-07,38
2017-06-08,35
2017-06-09,38
2017-06-10,44
2017-06-11,53
2017-06-12,77
2017-06-13,60
2017-06-14,53
2017-06-15,64
2017-06-16,51
2017-06-17,39
2017-06-18,38
2017-06-19,44
2017-06-20,47
2017-06-21,59
2017-06-22,53
2017-06-23,46
2017-06-24,41
2017-06-25,46
2017-06-26,65
2017-06-27,50
2017-06-28,48
2017-06-29,44
2017-06-30,39
2017-07-01,33
2017-07-02,36
2017-07-03,38
2017-07-04,35
2017-07-05,34
2017-07-06,33
2017-07-07,34
2017-07-08,32
2017-07-09,30
2017-07-10,38
2017-07-11,48
2017-07-12,42
2017-07-13,35
2017-07-14,35
2017-07-15,33
2017-07-16,36
2017-07-17,40
2017-07-18,46
2017-07-19,42
2017-07-20,36
2017-07-21,37
2017-07-22,25
2017-07-23,26
2017-07-24,28
2017-07-25,34
2017-07-26,29
2017-07-27,25
2017-07-28,27
2017-07-29,25
2017-07-30,23
2017-07-31,27
2017-08-01,34
2017-08-02,31
2017-08-03,28
2017-08-04,30
2017-08-05,29
2017-08-06,29
2017-08-07,34
2017-08-08,36
2017-08-09,39
2017-08-10,35
2017-08-11,32
2017-08-12,30
2017-08-13,30
2017-08-14,37
2017-08-15,34
2017-08-16,34
2017-08-17,33
2017-08-18,33
2017-08-19,25
2017-08-20,24
2017-08-21,34
2017-08-22,36
2017-08-23,34
2017-08-24,33
2017-08-25,30
2017-08-26,23
2017-08-27,27
2017-08-28,32
2017-08-29,34
2017-08-30,41
2017-08-31,40
2017-09-01,38
2017-09-02,36
2017-09-03,31
2017-09-04,43
2017-09-05,39
2017-09-06,36
2017-09-07,36
2017-09-08,32
2017-09-09,25
2017-09-10,27
2017-09-11,29
2017-09-12,32
2017-09-13,36
2017-09-14,40
2017-09-15,42
2017-09-16,29
2017-09-17,29
2017-09-18,34
2017-09-19,40
2017-09-20,35
2017-09-21,32
2017-09-22,30
2017-09-23,25
2017-09-24,24
2017-09-25,32
2017-09-26,31
2017-09-27,29
2017-09-28,29
2017-09-29,29
2017-09-30,23
2017-10-01,20
2017-10-02,29
2017-10-03,30
2017-10-04,28
2017-10-05,26
2017-10-06,26
2017-10-07,25
2017-10-08,27
2017-10-09,32
2017-10-10,31
2017-10-11,29
2017-10-12,34
2017-10-13,40
2017-10-14,28
2017-10-15,30
2017-10-16,35
2017-10-17,33
2017-10-18,34
2017-10-19,31
2017-10-20,29
2017-10-21,24
2017-10-22,27
2017-10-23,32
2017-10-24,35
2017-10-25,34
2017-10-26,32
2017-10-27,30
2017-10-28,21
2017-10-29,24
2017-10-30,31
2017-10-31,33
2017-11-01,33
2017-11-02,37
2017-11-03,34
2017-11-04,27
2017-11-05,29
2017-11-06,31
2017-11-07,34
2017-11-08,37
2017-11-09,35
2017-11-10,33
2017-11-11,26
2017-11-12,31
2017-11-13,35
2017-11-14,34
2017-11-15,39
2017-11-16,33
2017-11-17,33
2017-11-18,26
2017-11-19,36
2017-11-20,38
2017-11-21,38
2017-11-22,37
2017-11-23,49
2017-11-24,48
2017-11-25,45
2017-11-26,44
2017-11-27,50
2017-11-28,52
2017-11-29,71
2017-11-30,56
2017-12-01,52
2017-12-02,42
2017-12-03,40
2017-12-04,53
2017-12-05,56
2017-12-06,71
2017-12-07,79
2017-12-08,70
2017-12-09,60
2017-12-10,53
2017-12-11,54
2017-12-12,97
2017-12-13,100
2017-12-14,93
2017-12-15,76
2017-12-16,60
2017-12-17,64
2017-12-18,71
2017-12-19,93
2017-12-20,76
2017-12-21,82
2017-12-22,92
2017-12-23,61
2017-12-24,55
2017-12-25,53
2017-12-26,55
2017-12-27,51
2017-12-28,54
2017-12-29,57
2017-12-30,58
2017-12-31,48
