Category: All categories

Day,eth: (Worldwide)
2016-10-01,23
2016-10-02,24
2016-10-03,35
2016-10-04,33
2016-10-05,33
2016-10-06,32
2016-10-07,28
2016-10-08,22
2016-10-09,23
2016-10-10,33
2016-10-11,32
2016-10-12,28
2016-10-13,31
2016-10-14,31
2016-10-15,16
2016-10-16,20
2016-10-17,31
2016-10-18,31
2016-10-19,30
2016-10-20,33
2016-10-21,25
2016-10-22,20
2016-10-23,19
2016-10-24,29
2016-10-25,31
2016-10-26,31
2016-10-27,31
2016-10-28,25
2016-10-29,20
2016-10-30,25
2016-10-31,31
2016-11-01,34
2016-11-02,31
2016-11-03,28
2016-11-04,29
2016-11-05,23
2016-11-06,22
2016-11-07,30
2016-11-08,35
2016-11-09,24
2016-11-10,29
2016-11-11,26
2016-11-12,19
2016-11-13,19
2016-11-14,30
2016-11-15,34
2016-11-16,30
2016-11-17,33
2016-11-18,28
2016-11-19,23
2016-11-20,22
2016-11-21,31
2016-11-22,29
2016-11-23,30
2016-11-24,29
2016-11-25,31
2016-11-26,18
2016-11-27,21
2016-11-28,30
2016-11-29,33
2016-11-30,32
2016-12-01,31
2016-12-02,26
2016-12-03,21
2016-12-04,23
2016-12-05,32
2016-12-06,40
2016-12-07,33
2016-12-08,33
2016-12-09,27
2016-12-10,16
2016-12-11,20
2016-12-12,28
2016-12-13,27
2016-12-14,28
2016-12-15,32
2016-12-16,30
2016-12-17,20
2016-12-18,20
2016-12-19,27
2016-12-20,30
2016-12-21,27
2016-12-22,32
2016-12-23,21
2016-12-24,15
2016-12-25,14
2016-12-26,17
2016-12-27,18
2016-12-28,18
2016-12-29,22
2016-12-30,19
2016-12-31,16
2017-01-01,15
2017-01-02,19
2017-01-03,26
2017-01-04,27
2017-01-05,29
2017-01-06,28
2017-01-07,22
2017-01-08,21
2017-01-09,31
2017-01-10,29
2017-01-11,29
2017-01-12,29
2017-01-13,22
2017-01-14,20
2017-01-15,19
2017-01-16,29
2017-01-17,31
2017-01-18,30
2017-01-19,29
2017-01-20,29
2017-01-21,17
2017-01-22,20
2017-01-23,30
2017-01-24,29
2017-01-25,32
2017-01-26,31
2017-01-27,26
2017-01-28,17
2017-01-29,20
2017-01-30,27
2017-01-31,30
2017-02-01,29
2017-02-02,30
2017-02-03,25
2017-02-04,19
2017-02-05,19
2017-02-06,29
2017-02-07,28
2017-02-08,28
2017-02-09,30
2017-02-10,25
2017-02-11,18
2017-02-12,19
2017-02-13,30
2017-02-14,30
2017-02-15,24
2017-02-16,26
2017-02-17,30
2017-02-18,24
2017-02-19,20
2017-02-20,39
2017-02-21,35
2017-02-22,37
2017-02-23,34
2017-02-24,29
2017-02-25,22
2017-02-26,25
2017-02-27,37
2017-02-28,40
2017-03-01,39
2017-03-02,41
2017-03-03,41
2017-03-04,24
2017-03-05,26
2017-03-06,40
2017-03-07,37
2017-03-08,36
2017-03-09,31
2017-03-10,30
2017-03-11,23
2017-03-12,30
2017-03-13,44
2017-03-14,43
2017-03-15,46
2017-03-16,55
2017-03-17,57
2017-03-18,36
2017-03-19,38
2017-03-20,44
2017-03-21,45
2017-03-22,36
2017-03-23,38
2017-03-24,40
2017-03-25,36
2017-03-26,32
2017-03-27,38
2017-03-28,42
2017-03-29,41
2017-03-30,38
2017-03-31,36
2017-04-01,25
2017-04-02,23
2017-04-03,37
2017-04-04,40
2017-04-05,39
2017-04-06,41
2017-04-07,34
2017-04-08,24
2017-04-09,27
2017-04-10,33
2017-04-11,35
2017-04-12,38
2017-04-13,38
2017-04-14,26
2017-04-15,26
2017-04-16,21
2017-04-17,24
2017-04-18,30
2017-04-19,29
2017-04-20,33
2017-04-21,32
2017-04-22,24
2017-04-23,24
2017-04-24,30
2017-04-25,36
2017-04-26,44
2017-04-27,42
2017-04-28,42
2017-04-29,33
2017-04-30,41
2017-05-01,52
2017-05-02,48
2017-05-03,45
2017-05-04,50
2017-05-05,54
2017-05-06,38
2017-05-07,38
2017-05-08,55
2017-05-09,54
2017-05-10,47
2017-05-11,46
2017-05-12,42
2017-05-13,33
2017-05-14,32
2017-05-15,44
2017-05-16,39
2017-05-17,41
2017-05-18,41
2017-05-19,56
2017-05-20,48
2017-05-21,51
2017-05-22,100
2017-05-23,82
2017-05-24,85
2017-05-25,97
2017-05-26,78
2017-05-27,62
2017-05-28,54
2017-05-29,65
2017-05-30,76
2017-05-31,89
