Category: All categories

Day,eth: (Worldwide)
2016-03-01,76
2016-03-02,79
2016-03-03,81
2016-03-04,69
2016-03-05,52
2016-03-06,53
2016-03-07,84
2016-03-08,67
2016-03-09,72
2016-03-10,83
2016-03-11,74
2016-03-12,58
2016-03-13,59
2016-03-14,78
2016-03-15,69
2016-03-16,76
2016-03-17,67
2016-03-18,66
2016-03-19,40
2016-03-20,49
2016-03-21,79
2016-03-22,57
2016-03-23,74
2016-03-24,68
2016-03-25,44
2016-03-26,33
2016-03-27,38
2016-03-28,51
2016-03-29,66
2016-03-30,62
2016-03-31,56
2016-04-01,59
2016-04-02,36
2016-04-03,42
2016-04-04,67
2016-04-05,74
2016-04-06,57
2016-04-07,67
2016-04-08,61
2016-04-09,45
2016-04-10,49
2016-04-11,74
2016-04-12,72
2016-04-13,70
2016-04-14,67
2016-04-15,53
2016-04-16,32
2016-04-17,51
2016-04-18,63
2016-04-19,70
2016-04-20,60
2016-04-21,62
2016-04-22,50
2016-04-23,44
2016-04-24,46
2016-04-25,59
2016-04-26,65
2016-04-27,58
2016-04-28,61
2016-04-29,50
2016-04-30,45
2016-05-01,45
2016-05-02,71
2016-05-03,67
2016-05-04,62
2016-05-05,50
2016-05-06,48
2016-05-07,46
2016-05-08,39
2016-05-09,64
2016-05-10,64
2016-05-11,65
2016-05-12,65
2016-05-13,56
2016-05-14,52
2016-05-15,37
2016-05-16,46
2016-05-17,63
2016-05-18,65
2016-05-19,70
2016-05-20,62
2016-05-21,46
2016-05-22,43
2016-05-23,65
2016-05-24,74
2016-05-25,71
2016-05-26,66
2016-05-27,69
2016-05-28,55
2016-05-29,58
2016-05-30,72
2016-05-31,69
2016-06-01,58
2016-06-02,63
2016-06-03,69
2016-06-04,40
2016-06-05,56
2016-06-06,76
2016-06-07,67
2016-06-08,60
2016-06-09,63
2016-06-10,51
2016-06-11,40
2016-06-12,52
2016-06-13,73
2016-06-14,74
2016-06-15,65
2016-06-16,67
2016-06-17,97
2016-06-18,63
2016-06-19,54
2016-06-20,77
2016-06-21,70
2016-06-22,71
2016-06-23,64
2016-06-24,57
2016-06-25,40
2016-06-26,46
2016-06-27,60
2016-06-28,59
2016-06-29,66
2016-06-30,53
2016-07-01,61
2016-07-02,49
2016-07-03,50
2016-07-04,61
2016-07-05,66
2016-07-06,59
2016-07-07,51
2016-07-08,52
2016-07-09,36
2016-07-10,41
2016-07-11,58
2016-07-12,46
2016-07-13,66
2016-07-14,53
2016-07-15,57
2016-07-16,33
2016-07-17,35
2016-07-18,52
2016-07-19,59
2016-07-20,58
2016-07-21,57
2016-07-22,56
2016-07-23,42
2016-07-24,51
2016-07-25,49
2016-07-26,73
2016-07-27,59
2016-07-28,66
2016-07-29,65
2016-07-30,41
2016-07-31,45
2016-08-01,45
2016-08-02,66
2016-08-03,60
2016-08-04,55
2016-08-05,59
2016-08-06,47
2016-08-07,47
2016-08-08,60
2016-08-09,69
2016-08-10,49
2016-08-11,60
2016-08-12,54
2016-08-13,37
2016-08-14,55
2016-08-15,52
2016-08-16,53
2016-08-17,50
2016-08-18,61
2016-08-19,56
2016-08-20,39
2016-08-21,51
2016-08-22,48
2016-08-23,63
2016-08-24,57
2016-08-25,51
2016-08-26,58
2016-08-27,39
2016-08-28,38
2016-08-29,61
2016-08-30,59
2016-08-31,67
2016-09-01,63
2016-09-02,65
2016-09-03,42
2016-09-04,52
2016-09-05,74
2016-09-06,82
2016-09-07,70
2016-09-08,69
2016-09-09,51
2016-09-10,48
2016-09-11,39
2016-09-12,61
2016-09-13,60
2016-09-14,65
2016-09-15,71
2016-09-16,64
2016-09-17,42
2016-09-18,58
2016-09-19,97
2016-09-20,100
2016-09-21,91
2016-09-22,88
2016-09-23,87
2016-09-24,50
2016-09-25,45
2016-09-26,85
2016-09-27,93
2016-09-28,83
2016-09-29,76
2016-09-30,63
2016-10-01,50
2016-10-02,52
2016-10-03,78
2016-10-04,72
2016-10-05,73
2016-10-06,71
2016-10-07,62
2016-10-08,48
2016-10-09,51
2016-10-10,72
2016-10-11,70
2016-10-12,62
2016-10-13,69
2016-10-14,69
2016-10-15,35
2016-10-16,44
2016-10-17,68
2016-10-18,68
2016-10-19,67
2016-10-20,73
2016-10-21,55
2016-10-22,45
2016-10-23,42
2016-10-24,64
2016-10-25,70
2016-10-26,69
2016-10-27,68
2016-10-28,56
2016-10-29,45
2016-10-30,54
2016-10-31,69
