Category: All categories

Day,etherium: (Worldwide)
2022-01-01,48
2022-01-02,44
2022-01-03,55
2022-01-04,50
2022-01-05,51
2022-01-06,55
2022-01-07,64
2022-01-08,61
2022-01-09,56
2022-01-10,63
2022-01-11,49
2022-01-12,50
2022-01-13,47
2022-01-14,49
2022-01-15,45
2022-01-16,54
2022-01-17,38
2022-01-18,43
2022-01-19,43
2022-01-20,52
2022-01-21,68
2022-01-22,100
2022-01-23,65
2022-01-24,83
2022-01-25,62
2022-01-26,51
2022-01-27,57
2022-01-28,56
2022-01-29,47
2022-01-30,42
2022-01-31,43
2022-02-01,57
2022-02-02,44
2022-02-03,45
2022-02-04,48
2022-02-05,49
2022-02-06,38
2022-02-07,39
2022-02-08,39
2022-02-09,41
2022-02-10,37
2022-02-11,44
2022-02-12,34
2022-02-13,34
2022-02-14,38
2022-02-15,37
2022-02-16,30
2022-02-17,29
2022-02-18,34
2022-02-19,41
2022-02-20,41
2022-02-21,30
2022-02-22,38
2022-02-23,30
2022-02-24,56
2022-02-25,42
2022-02-26,31
2022-02-27,34
2022-02-28,33
2022-03-01,42
2022-03-02,31
2022-03-03,36
2022-03-04,28
2022-03-05,24
2022-03-06,30
2022-03-07,27
2022-03-08,33
2022-03-09,25
2022-03-10,27
2022-03-11,30
2022-03-12,23
2022-03-13,24
2022-03-14,32
2022-03-15,34
2022-03-16,22
2022-03-17,28
2022-03-18,26
2022-03-19,31
2022-03-20,26
2022-03-21,21
2022-03-22,34
2022-03-23,28
2022-03-24,25
2022-03-25,30
2022-03-26,21
2022-03-27,29
2022-03-28,39
2022-03-29,35
2022-03-30,31
2022-03-31,30
