Category: All categories

Day,bitcoin: (Worldwide)
2011-03-01,3
2011-03-02,3
2011-03-03,2
2011-03-04,3
2011-03-05,2
2011-03-06,2
2011-03-07,4
2011-03-08,3
2011-03-09,2
2011-03-10,2
2011-03-11,2
2011-03-12,2
2011-03-13,2
2011-03-14,1
2011-03-15,2
2011-03-16,2
2011-03-17,2
2011-03-18,2
2011-03-19,<1
2011-03-20,2
2011-03-21,5
2011-03-22,3
2011-03-23,11
2011-03-24,6
2011-03-25,3
2011-03-26,4
2011-03-27,3
2011-03-28,3
2011-03-29,4
2011-03-30,2
2011-03-31,3
2011-04-01,3
2011-04-02,2
2011-04-03,2
2011-04-04,3
2011-04-05,2
2011-04-06,4
2011-04-07,4
2011-04-08,2
2011-04-09,3
2011-04-10,4
2011-04-11,2
2011-04-12,4
2011-04-13,2
2011-04-14,4
2011-04-15,3
2011-04-16,6
2011-04-17,6
2011-04-18,7
2011-04-19,5
2011-04-20,4
2011-04-21,4
2011-04-22,4
2011-04-23,5
2011-04-24,4
2011-04-25,5
2011-04-26,7
2011-04-27,6
2011-04-28,7
2011-04-29,8
2011-04-30,8
2011-05-01,8
2011-05-02,7
2011-05-03,6
2011-05-04,4
2011-05-05,7
2011-05-06,8
2011-05-07,5
2011-05-08,8
2011-05-09,13
2011-05-10,9
2011-05-11,10
2011-05-12,10
2011-05-13,9
2011-05-14,10
2011-05-15,13
2011-05-16,43
2011-05-17,33
2011-05-18,27
2011-05-19,47
2011-05-20,45
2011-05-21,28
2011-05-22,23
2011-05-23,29
2011-05-24,30
2011-05-25,48
2011-05-26,29
2011-05-27,25
2011-05-28,29
2011-05-29,28
2011-05-30,27
2011-05-31,63
2011-06-01,55
2011-06-02,62
2011-06-03,59
2011-06-04,59
2011-06-05,60
2011-06-06,64
2011-06-07,51
2011-06-08,76
2011-06-09,81
2011-06-10,71
2011-06-11,94
2011-06-12,100
2011-06-13,79
2011-06-14,76
2011-06-15,80
2011-06-16,92
2011-06-17,78
2011-06-18,74
2011-06-19,80
2011-06-20,99
2011-06-21,70
2011-06-22,73
2011-06-23,59
2011-06-24,46
2011-06-25,41
2011-06-26,51
2011-06-27,44
2011-06-28,41
2011-06-29,37
2011-06-30,38
2011-07-01,31
2011-07-02,34
2011-07-03,33
2011-07-04,33
2011-07-05,31
2011-07-06,28
2011-07-07,50
2011-07-08,29
2011-07-09,30
2011-07-10,30
2011-07-11,27
2011-07-12,23
2011-07-13,30
2011-07-14,40
2011-07-15,25
2011-07-16,28
2011-07-17,28
2011-07-18,29
2011-07-19,33
2011-07-20,28
2011-07-21,25
2011-07-22,19
2011-07-23,21
2011-07-24,23
2011-07-25,24
2011-07-26,31
2011-07-27,26
2011-07-28,25
2011-07-29,25
2011-07-30,23
2011-07-31,27
2011-08-01,22
2011-08-02,23
2011-08-03,35
2011-08-04,25
2011-08-05,31
2011-08-06,30
2011-08-07,38
2011-08-08,28
2011-08-09,28
2011-08-10,20
2011-08-11,21
2011-08-12,22
2011-08-13,22
2011-08-14,22
2011-08-15,22
2011-08-16,25
2011-08-17,28
2011-08-18,23
2011-08-19,25
2011-08-20,21
2011-08-21,31
2011-08-22,27
2011-08-23,19
2011-08-24,29
2011-08-25,23
2011-08-26,21
2011-08-27,27
2011-08-28,24
2011-08-29,20
2011-08-30,19
2011-08-31,21
2011-09-01,22
2011-09-02,19
2011-09-03,18
2011-09-04,20
2011-09-05,21
2011-09-06,21
2011-09-07,23
2011-09-08,21
2011-09-09,24
2011-09-10,23
2011-09-11,22
2011-09-12,20
2011-09-13,15
2011-09-14,17
2011-09-15,17
2011-09-16,17
2011-09-17,19
2011-09-18,19
2011-09-19,16
2011-09-20,18
2011-09-21,17
2011-09-22,18
2011-09-23,15
2011-09-24,14
2011-09-25,16
2011-09-26,16
2011-09-27,14
2011-09-28,12
2011-09-29,13
2011-09-30,17
2011-10-01,14
2011-10-02,15
2011-10-03,12
2011-10-04,15
2011-10-05,15
2011-10-06,17
2011-10-07,14
2011-10-08,17
2011-10-09,19
2011-10-10,12
2011-10-11,13
2011-10-12,11
2011-10-13,12
2011-10-14,9
2011-10-15,11
2011-10-16,12
2011-10-17,13
2011-10-18,20
2011-10-19,17
2011-10-20,13
2011-10-21,11
2011-10-22,10
2011-10-23,13
2011-10-24,12
2011-10-25,14
2011-10-26,11
2011-10-27,10
2011-10-28,10
2011-10-29,10
2011-10-30,10
2011-10-31,8
