DATE		,	COUNT
04/07/2015	,	22122.50662
05/07/2015	,	22122.50662
06/07/2015	,	26093.21294
07/07/2015	,	23256.99414
08/07/2015	,	24958.72542
09/07/2015	,	22689.75038
10/07/2015	,	24391.48166
11/07/2015	,	21555.26286
12/07/2015	,	24391.48166
13/07/2015	,	23256.99414
14/07/2015	,	20988.0191
15/07/2015	,	20420.77534
16/07/2015	,	19853.53158
17/07/2015	,	19286.28783
18/07/2015	,	19853.53158
19/07/2015	,	19286.28783
20/07/2015	,	19853.53158
21/07/2015	,	20420.77534
22/07/2015	,	19286.28783
23/07/2015	,	17584.55655
24/07/2015	,	19286.28783
25/07/2015	,	18719.04407
26/07/2015	,	20420.77534
27/07/2015	,	20988.0191
28/07/2015	,	22122.50662
29/07/2015	,	18719.04407
30/07/2015	,	18151.80031
31/07/2015	,	18151.80031
01/08/2015	,	31198.40678
02/08/2015	,	24391.48166
03/08/2015	,	22689.75038
04/08/2015	,	22689.75038
05/08/2015	,	20420.77534
06/08/2015	,	18719.04407
07/08/2015	,	18151.80031
08/08/2015	,	18151.80031
09/08/2015	,	18719.04407
10/08/2015	,	19286.28783
11/08/2015	,	19853.53158
12/08/2015	,	18719.04407
13/08/2015	,	20420.77534
14/08/2015	,	17584.55655
15/08/2015	,	17584.55655
16/08/2015	,	18719.04407
17/08/2015	,	19286.28783
18/08/2015	,	21555.26286
19/08/2015	,	27227.70046
20/08/2015	,	23256.99414
21/08/2015	,	21555.26286
22/08/2015	,	20420.77534
23/08/2015	,	21555.26286
24/08/2015	,	25525.96918
25/08/2015	,	26660.4567
26/08/2015	,	20988.0191
27/08/2015	,	19286.28783
28/08/2015	,	20420.77534
29/08/2015	,	18151.80031
30/08/2015	,	19286.28783
31/08/2015	,	18151.80031
01/09/2015	,	17584.55655
02/09/2015	,	19286.28783
03/09/2015	,	17584.55655
04/09/2015	,	19286.28783
05/09/2015	,	17584.55655
06/09/2015	,	17584.55655
07/09/2015	,	17017.31279
08/09/2015	,	18151.80031
09/09/2015	,	18719.04407
10/09/2015	,	17017.31279
11/09/2015	,	16450.06903
12/09/2015	,	18151.80031
13/09/2015	,	18719.04407
14/09/2015	,	19286.28783
15/09/2015	,	17584.55655
16/09/2015	,	19853.53158
17/09/2015	,	18719.04407
18/09/2015	,	19853.53158
19/09/2015	,	17017.31279
20/09/2015	,	18151.80031
21/09/2015	,	17584.55655
22/09/2015	,	19286.28783
23/09/2015	,	19853.53158
24/09/2015	,	18151.80031
25/09/2015	,	18719.04407
26/09/2015	,	17584.55655
27/09/2015	,	18151.80031
28/09/2015	,	17584.55655
29/09/2015	,	18151.80031
30/09/2015	,	18719.04407
01/10/2015	,	16450.06903
02/10/2015	,	17584.55655
03/10/2015	,	16450.06903
