Category: All categories

Day,bitcoin: (Worldwide)
2014-09-01,51
2014-09-02,54
2014-09-03,50
2014-09-04,48
2014-09-05,47
2014-09-06,44
2014-09-07,45
2014-09-08,48
2014-09-09,58
2014-09-10,66
2014-09-11,67
2014-09-12,53
2014-09-13,43
2014-09-14,42
2014-09-15,46
2014-09-16,44
2014-09-17,47
2014-09-18,47
2014-09-19,53
2014-09-20,46
2014-09-21,48
2014-09-22,47
2014-09-23,57
2014-09-24,54
2014-09-25,47
2014-09-26,44
2014-09-27,40
2014-09-28,47
2014-09-29,56
2014-09-30,54
2014-10-01,47
2014-10-02,47
2014-10-03,45
2014-10-04,52
2014-10-05,65
2014-10-06,65
2014-10-07,59
2014-10-08,56
2014-10-09,57
2014-10-10,51
2014-10-11,45
2014-10-12,45
2014-10-13,49
2014-10-14,57
2014-10-15,53
2014-10-16,47
2014-10-17,43
2014-10-18,46
2014-10-19,43
2014-10-20,39
2014-10-21,40
2014-10-22,45
2014-10-23,44
2014-10-24,42
2014-10-25,40
2014-10-26,42
2014-10-27,42
2014-10-28,45
2014-10-29,43
2014-10-30,40
2014-10-31,38
2014-11-01,39
2014-11-02,45
2014-11-03,42
2014-11-04,41
2014-11-05,42
2014-11-06,49
2014-11-07,49
2014-11-08,44
2014-11-09,48
2014-11-10,47
2014-11-11,55
2014-11-12,57
2014-11-13,62
2014-11-14,45
2014-11-15,45
2014-11-16,44
2014-11-17,44
2014-11-18,49
2014-11-19,43
2014-11-20,43
2014-11-21,41
2014-11-22,42
2014-11-23,41
2014-11-24,43
2014-11-25,45
2014-11-26,39
2014-11-27,45
2014-11-28,41
2014-11-29,40
2014-11-30,39
2014-12-01,40
2014-12-02,46
2014-12-03,43
2014-12-04,43
2014-12-05,42
2014-12-06,40
2014-12-07,45
2014-12-08,48
2014-12-09,41
2014-12-10,45
2014-12-11,60
2014-12-12,58
2014-12-13,47
2014-12-14,44
2014-12-15,45
2014-12-16,48
2014-12-17,50
2014-12-18,50
2014-12-19,47
2014-12-20,47
2014-12-21,43
2014-12-22,44
2014-12-23,44
2014-12-24,43
2014-12-25,45
2014-12-26,50
2014-12-27,100
2014-12-28,45
2014-12-29,46
2014-12-30,43
2014-12-31,45
2015-01-01,43
2015-01-02,43
2015-01-03,48
2015-01-04,59
2015-01-05,58
2015-01-06,63
2015-01-07,46
2015-01-08,52
2015-01-09,48
2015-01-10,46
2015-01-11,43
2015-01-12,40
2015-01-13,55
2015-01-14,86
2015-01-15,72
2015-01-16,60
2015-01-17,49
2015-01-18,46
2015-01-19,43
2015-01-20,45
2015-01-21,52
2015-01-22,44
2015-01-23,45
2015-01-24,45
2015-01-25,48
2015-01-26,70
2015-01-27,54
2015-01-28,52
2015-01-29,50
2015-01-30,44
2015-01-31,40
2015-02-01,43
2015-02-02,40
2015-02-03,45
2015-02-04,41
2015-02-05,44
2015-02-06,43
2015-02-07,54
2015-02-08,50
2015-02-09,54
2015-02-10,53
2015-02-11,44
2015-02-12,49
2015-02-13,42
2015-02-14,45
2015-02-15,45
2015-02-16,46
2015-02-17,46
2015-02-18,43
2015-02-19,48
2015-02-20,77
2015-02-21,48
2015-02-22,46
2015-02-23,45
2015-02-24,42
2015-02-25,40
2015-02-26,38
2015-02-27,41
2015-02-28,38
2015-03-01,41
2015-03-02,44
2015-03-03,44
2015-03-04,45
2015-03-05,44
2015-03-06,53
2015-03-07,54
2015-03-08,45
2015-03-09,45
2015-03-10,52
2015-03-11,51
2015-03-12,45
2015-03-13,45
2015-03-14,44
2015-03-15,43
2015-03-16,46
2015-03-17,45
2015-03-18,51
2015-03-19,51
2015-03-20,42
2015-03-21,40
2015-03-22,40
2015-03-23,42
2015-03-24,42
2015-03-25,48
2015-03-26,44
2015-03-27,38
2015-03-28,35
2015-03-29,40
2015-03-30,50
2015-03-31,43
2015-04-01,44
2015-04-02,39
2015-04-03,39
2015-04-04,39
2015-04-05,42
2015-04-06,40
2015-04-07,41
2015-04-08,44
2015-04-09,43
2015-04-10,41
2015-04-11,36
2015-04-12,37
2015-04-13,41
2015-04-14,42
2015-04-15,39
2015-04-16,36
2015-04-17,38
2015-04-18,38
2015-04-19,39
2015-04-20,38
2015-04-21,42
2015-04-22,43
2015-04-23,38
2015-04-24,38
2015-04-25,37
2015-04-26,37
2015-04-27,38
2015-04-28,38
2015-04-29,38
2015-04-30,41
