Average electricity cost assumption: 0.05 USD/kWh,,,,,,,
Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1541808000,2018-11-10T00:00:00,9.224570202,2.9645515296285714,5.3651112827577645,80.862582390732,25.98725870872406,47.03056550465457
1541894400,2018-11-11T00:00:00,9.459266324400001,3.0399771303257146,5.501613123681986,82.9199285996904,26.648439524435215,48.2271406421963
1541980800,2018-11-12T00:00:00,9.418448365200002,3.02685923532,5.4778729505739125,82.56211836934321,26.533448056815125,48.01903428473092
1542067200,2018-11-13T00:00:00,9.3368124468,3.000623445308572,5.430392604357764,81.8464979086488,26.30346512157494,47.602821569800156
1542153600,2018-11-14T00:00:00,9.3878334672,3.0170203549485715,5.460066989853416,82.29374817347521,26.44720043147918,47.86294723305504
1542240000,2018-11-15T00:00:00,9.4490575488,3.036696279222857,5.495675587736646,82.8304384727808,26.61967958366757,48.175092202099435
1542326400,2018-11-16T00:00:00,9.433574382000002,3.031720367628572,5.486670407975154,82.694713032612,26.57606074263206,48.09615279631021
1542412800,2018-11-17T00:00:00,9.4670521944,3.042479318754286,5.506141471135403,82.9881795361104,26.67037370820007,48.26683613597295
1542499200,2018-11-18T00:00:00,9.139571359200001,2.9372349778628575,5.315675022797516,80.1174825347472,25.74780181594581,46.59720724984302
1542585600,2018-11-19T00:00:00,8.9016666012,2.860778200062857,5.177307004188819,78.0320094261192,25.077581701751008,45.38427319871919
1542672000,2018-11-20T00:00:00,8.924544201600002,2.868130501988572,5.190612867696894,78.23255447122561,25.14203198043182,45.50091239823097
1542758400,2018-11-21T00:00:00,8.539213638000001,2.744294671514286,4.966500382335403,74.854746750708,24.056487090494226,43.53634235155215
1542844800,2018-11-22T00:00:00,8.3961650628,2.6983223537657146,4.883301760829814,73.6007829405048,23.65349375311025,42.807023235434144
1542931200,2018-11-23T00:00:00,8.278025877257145,2.666436668194286,4.807606597732297,72.56517484003611,23.37398383339111,42.14347943572132
1543017600,2018-11-24T00:00:00,8.185023064457143,2.6603634666285716,4.754439602766873,71.74991218303131,23.320746148466053,41.67741755785441
1543104000,2018-11-25T00:00:00,8.004716607942857,2.6725117062285717,4.720006037142153,70.16934578522708,23.42723761679966,41.37557292158811
1543190400,2018-11-26T00:00:00,7.672341752914286,2.626958103314286,4.588254173170351,67.25574780604663,23.027914733653027,40.2206360820113
1543276800,2018-11-27T00:00:00,7.437916527257143,2.6239215025314286,4.524562865684389,65.20077627793611,23.0012958911905,39.66231808058935
1543363200,2018-11-28T00:00:00,7.358114213314286,2.6634019038800005,4.543592080421035,64.50122919391302,23.347381089412078,39.82912817697079
1543449600,2018-11-29T00:00:00,7.017140781085714,2.611773262931429,4.403511445579047,61.51225608699737,22.894804422856904,38.60118133194593
1543536000,2018-11-30T00:00:00,6.635812479942857,2.538886580034286,4.244725763750475,58.16953219917908,22.255879760580545,37.20926604503667
1543622400,2018-12-01T00:00:00,6.3174138428571425,2.4811838192857145,4.127387852499999,55.378449746485714,21.750057359858573,36.18068191501499
1543708800,2018-12-02T00:00:00,6.150381619371429,2.4417034179371435,4.04949597668,53.91424527540994,21.403972161636993,35.497881731576875
1543795200,2018-12-03T00:00:00,6.045397676742858,2.424615996114286,4.009778753797142,52.99395603432789,21.25418382193783,35.14972055578575
1543881600,2018-12-04T00:00:00,5.869707183257143,2.3824488412457145,3.92708368338,51.45385316843211,20.88454654235993,34.42481556850908
1543968000,2018-12-05T00:00:00,5.746003597542858,2.3591440550742857,3.8764932700371424,50.36946753606069,20.68025678678119,33.98134000514559
1544054400,2018-12-06T00:00:00,5.753157295371429,2.388206170217143,3.912559158797143,50.43217685122595,20.935015288123477,34.297493586015754
1544140800,2018-12-07T00:00:00,5.663829657085714,2.3752912049885717,3.8807071676685716,49.64913077401337,20.82180270292982,34.0182790317827
1544227200,2018-12-08T00:00:00,5.475529580914285,2.3260325267314284,3.787215961885714,47.99849230629463,20.390001129327707,33.198735121890174
1544313600,2018-12-09T00:00:00,5.437129772057142,2.3097200946457144,3.7606562717428567,47.66187958185292,20.247006349664332,32.96591287809789
1544400000,2018-12-10T00:00:00,5.436131139257142,2.3092958704057147,3.759965555342857,47.65312556672812,20.243287599976494,32.95985805813549
1544486400,2018-12-11T00:00:00,5.357258601942857,2.2757904195542857,3.705412415257143,46.961728904631094,19.94957881781287,32.48164523214412
1544572800,2018-12-12T00:00:00,5.296586255485714,2.2500165013885716,3.6634476563142857,46.42987511558778,19.72364465117222,32.11378215525103
1544659200,2018-12-13T00:00:00,5.272316452285715,2.2397065668285716,3.6466611547142853,46.217126020736565,19.63326776481926,31.96663168222543
1544745600,2018-12-14T00:00:00,5.466464070171428,2.3221814521371433,3.7809456922285714,47.919024039122746,20.356242609434197,33.14376993807566
