Category: All categories

Day,crypto: (Worldwide)
2016-03-01,73
2016-03-02,90
2016-03-03,92
2016-03-04,75
2016-03-05,65
2016-03-06,75
2016-03-07,93
2016-03-08,80
2016-03-09,82
2016-03-10,73
2016-03-11,77
2016-03-12,71
2016-03-13,57
2016-03-14,82
2016-03-15,100
2016-03-16,91
2016-03-17,81
2016-03-18,74
2016-03-19,47
2016-03-20,47
2016-03-21,85
2016-03-22,90
2016-03-23,85
2016-03-24,98
2016-03-25,73
2016-03-26,70
2016-03-27,60
2016-03-28,59
2016-03-29,75
2016-03-30,78
2016-03-31,80
2016-04-01,67
2016-04-02,63
2016-04-03,62
2016-04-04,60
2016-04-05,69
2016-04-06,96
2016-04-07,81
2016-04-08,80
2016-04-09,64
2016-04-10,53
2016-04-11,72
2016-04-12,80
2016-04-13,85
2016-04-14,58
2016-04-15,65
2016-04-16,61
2016-04-17,43
2016-04-18,71
2016-04-19,83
2016-04-20,70
2016-04-21,65
2016-04-22,58
2016-04-23,50
2016-04-24,60
2016-04-25,58
2016-04-26,66
2016-04-27,63
2016-04-28,75
2016-04-29,66
2016-04-30,72
2016-05-01,40
2016-05-02,64
2016-05-03,65
2016-05-04,77
2016-05-05,63
2016-05-06,68
2016-05-07,43
2016-05-08,60
2016-05-09,68
2016-05-10,70
2016-05-11,54
2016-05-12,72
2016-05-13,71
2016-05-14,49
2016-05-15,68
2016-05-16,74
2016-05-17,78
2016-05-18,99
2016-05-19,67
2016-05-20,65
2016-05-21,48
2016-05-22,52
2016-05-23,64
2016-05-24,73
2016-05-25,78
2016-05-26,74
2016-05-27,68
2016-05-28,57
2016-05-29,57
2016-05-30,74
2016-05-31,92
2016-06-01,74
2016-06-02,85
2016-06-03,55
2016-06-04,52
2016-06-05,45
2016-06-06,74
2016-06-07,89
2016-06-08,69
2016-06-09,68
2016-06-10,59
2016-06-11,50
2016-06-12,51
2016-06-13,74
2016-06-14,57
2016-06-15,63
2016-06-16,75
2016-06-17,82
2016-06-18,60
2016-06-19,47
2016-06-20,85
2016-06-21,72
2016-06-22,72
2016-06-23,65
2016-06-24,55
2016-06-25,67
2016-06-26,44
2016-06-27,59
2016-06-28,73
2016-06-29,77
2016-06-30,83
2016-07-01,66
2016-07-02,69
2016-07-03,59
2016-07-04,54
2016-07-05,69
2016-07-06,73
2016-07-07,67
2016-07-08,62
2016-07-09,37
2016-07-10,46
2016-07-11,68
2016-07-12,63
2016-07-13,59
2016-07-14,74
2016-07-15,65
2016-07-16,57
2016-07-17,50
2016-07-18,63
2016-07-19,80
2016-07-20,69
2016-07-21,60
2016-07-22,79
2016-07-23,51
2016-07-24,71
2016-07-25,62
2016-07-26,69
2016-07-27,75
2016-07-28,63
2016-07-29,63
2016-07-30,50
2016-07-31,51
2016-08-01,72
2016-08-02,83
2016-08-03,77
2016-08-04,55
2016-08-05,82
2016-08-06,56
2016-08-07,52
2016-08-08,61
2016-08-09,58
2016-08-10,87
2016-08-11,69
2016-08-12,67
2016-08-13,62
2016-08-14,53
2016-08-15,65
2016-08-16,69
2016-08-17,70
2016-08-18,80
2016-08-19,84
2016-08-20,63
2016-08-21,75
2016-08-22,69
2016-08-23,80
2016-08-24,78
2016-08-25,73
2016-08-26,76
2016-08-27,56
2016-08-28,59
2016-08-29,73
2016-08-30,69
2016-08-31,75
2016-09-01,89
2016-09-02,67
2016-09-03,54
2016-09-04,48
2016-09-05,63
2016-09-06,75
2016-09-07,75
2016-09-08,71
2016-09-09,67
2016-09-10,49
2016-09-11,55
2016-09-12,78
2016-09-13,60
2016-09-14,73
2016-09-15,75
2016-09-16,68
2016-09-17,54
2016-09-18,46
2016-09-19,72
2016-09-20,73
2016-09-21,72
2016-09-22,77
2016-09-23,68
2016-09-24,58
2016-09-25,64
2016-09-26,63
2016-09-27,59
2016-09-28,66
2016-09-29,68
2016-09-30,64
2016-10-01,61
2016-10-02,60
2016-10-03,48
2016-10-04,86
2016-10-05,64
2016-10-06,79
2016-10-07,56
2016-10-08,55
2016-10-09,44
2016-10-10,76
2016-10-11,75
2016-10-12,84
2016-10-13,78
2016-10-14,69
2016-10-15,55
2016-10-16,58
2016-10-17,76
2016-10-18,73
2016-10-19,83
2016-10-20,76
2016-10-21,61
2016-10-22,55
2016-10-23,61
2016-10-24,76
2016-10-25,77
2016-10-26,81
2016-10-27,68
2016-10-28,78
2016-10-29,56
2016-10-30,61
2016-10-31,79
