Category: All categories

Day,crypto: (Worldwide)
2022-01-01,53
2022-01-02,66
2022-01-03,66
2022-01-04,69
2022-01-05,72
2022-01-06,78
2022-01-07,70
2022-01-08,66
2022-01-09,63
2022-01-10,61
2022-01-11,61
2022-01-12,64
2022-01-13,63
2022-01-14,58
2022-01-15,56
2022-01-16,57
2022-01-17,60
2022-01-18,62
2022-01-19,59
2022-01-20,62
2022-01-21,84
2022-01-22,100
2022-01-23,64
2022-01-24,72
2022-01-25,60
2022-01-26,63
2022-01-27,55
2022-01-28,53
2022-01-29,50
2022-01-30,47
2022-01-31,49
2022-02-01,62
2022-02-02,52
2022-02-03,51
2022-02-04,45
2022-02-05,48
2022-02-06,47
2022-02-07,59
2022-02-08,58
2022-02-09,56
2022-02-10,56
2022-02-11,46
2022-02-12,40
2022-02-13,41
2022-02-14,44
2022-02-15,49
2022-02-16,46
2022-02-17,46
2022-02-18,40
2022-02-19,38
2022-02-20,41
2022-02-21,39
2022-02-22,45
2022-02-23,36
2022-02-24,45
2022-02-25,34
2022-02-26,33
2022-02-27,32
2022-02-28,35
2022-03-01,42
2022-03-02,35
2022-03-03,34
2022-03-04,32
2022-03-05,30
2022-03-06,32
2022-03-07,32
2022-03-08,36
2022-03-09,48
2022-03-10,39
2022-03-11,34
2022-03-12,35
2022-03-13,30
2022-03-14,31
2022-03-15,30
2022-03-16,31
2022-03-17,32
2022-03-18,32
2022-03-19,33
2022-03-20,31
2022-03-21,31
2022-03-22,33
2022-03-23,32
2022-03-24,37
2022-03-25,33
2022-03-26,32
2022-03-27,35
2022-03-28,44
2022-03-29,40
2022-03-30,46
2022-03-31,43
