Category: All categories

Day,crypto: (Worldwide)
2019-02-01,40
2019-02-02,37
2019-02-03,34
2019-02-04,45
2019-02-05,52
2019-02-06,46
2019-02-07,43
2019-02-08,44
2019-02-09,39
2019-02-10,35
2019-02-11,43
2019-02-12,41
2019-02-13,39
2019-02-14,42
2019-02-15,41
2019-02-16,36
2019-02-17,36
2019-02-18,51
2019-02-19,47
2019-02-20,48
2019-02-21,40
2019-02-22,41
2019-02-23,38
2019-02-24,48
2019-02-25,43
2019-02-26,47
2019-02-27,44
2019-02-28,41
2019-03-01,39
2019-03-02,35
2019-03-03,35
2019-03-04,38
2019-03-05,44
2019-03-06,42
2019-03-07,43
2019-03-08,43
2019-03-09,39
2019-03-10,35
2019-03-11,40
2019-03-12,48
2019-03-13,41
2019-03-14,42
2019-03-15,39
2019-03-16,36
2019-03-17,35
2019-03-18,45
2019-03-19,42
2019-03-20,46
2019-03-21,45
2019-03-22,37
2019-03-23,37
2019-03-24,36
2019-03-25,43
2019-03-26,40
2019-03-27,45
2019-03-28,41
2019-03-29,43
2019-03-30,40
2019-03-31,37
2019-04-01,41
2019-04-02,69
2019-04-03,74
2019-04-04,51
2019-04-05,47
2019-04-06,44
2019-04-07,48
2019-04-08,47
2019-04-09,47
2019-04-10,50
2019-04-11,51
2019-04-12,58
2019-04-13,61
2019-04-14,55
2019-04-15,53
2019-04-16,51
2019-04-17,51
2019-04-18,52
2019-04-19,46
2019-04-20,49
2019-04-21,43
2019-04-22,51
2019-04-23,49
2019-04-24,50
2019-04-25,46
2019-04-26,48
2019-04-27,42
2019-04-28,45
2019-04-29,47
2019-04-30,43
2019-05-01,43
2019-05-02,43
2019-05-03,50
2019-05-04,45
2019-05-05,42
2019-05-06,44
2019-05-07,48
2019-05-08,50
2019-05-09,48
2019-05-10,49
2019-05-11,62
2019-05-12,55
2019-05-13,63
2019-05-14,73
2019-05-15,73
2019-05-16,70
2019-05-17,57
2019-05-18,47
2019-05-19,51
2019-05-20,50
2019-05-21,55
2019-05-22,56
2019-05-23,54
2019-05-24,51
2019-05-25,48
2019-05-26,49
2019-05-27,66
2019-05-28,60
2019-05-29,57
2019-05-30,65
2019-05-31,54
2019-06-01,48
2019-06-02,48
2019-06-03,52
2019-06-04,57
2019-06-05,53
2019-06-06,44
2019-06-07,50
2019-06-08,47
2019-06-09,43
2019-06-10,52
2019-06-11,53
2019-06-12,63
2019-06-13,54
2019-06-14,55
2019-06-15,51
2019-06-16,57
2019-06-17,69
2019-06-18,83
2019-06-19,74
2019-06-20,57
2019-06-21,65
2019-06-22,81
2019-06-23,64
2019-06-24,69
2019-06-25,75
2019-06-26,100
2019-06-27,86
2019-06-28,76
2019-06-29,62
2019-06-30,66
2019-07-01,78
2019-07-02,70
2019-07-03,63
2019-07-04,57
2019-07-05,52
2019-07-06,47
2019-07-07,53
2019-07-08,51
2019-07-09,64
2019-07-10,55
2019-07-11,57
2019-07-12,55
2019-07-13,49
2019-07-14,52
2019-07-15,58
2019-07-16,61
2019-07-17,58
2019-07-18,50
2019-07-19,42
2019-07-20,45
2019-07-21,42
2019-07-22,47
2019-07-23,48
2019-07-24,44
2019-07-25,48
2019-07-26,44
2019-07-27,43
2019-07-28,42
2019-07-29,47
2019-07-30,47
2019-07-31,46
2019-08-01,38
2019-08-02,40
2019-08-03,44
2019-08-04,40
2019-08-05,50
2019-08-06,51
2019-08-07,44
2019-08-08,43
2019-08-09,44
2019-08-10,37
2019-08-11,39
2019-08-12,47
2019-08-13,48
2019-08-14,53
2019-08-15,49
2019-08-16,42
2019-08-17,39
2019-08-18,37
2019-08-19,43
2019-08-20,45
2019-08-21,46
2019-08-22,41
2019-08-23,43
2019-08-24,37
2019-08-25,34
2019-08-26,39
2019-08-27,42
2019-08-28,45
2019-08-29,49
2019-08-30,43
2019-08-31,33
2019-09-01,32
2019-09-02,42
2019-09-03,45
2019-09-04,42
2019-09-05,41
2019-09-06,40
2019-09-07,37
2019-09-08,38
2019-09-09,39
2019-09-10,36
2019-09-11,42
2019-09-12,41
2019-09-13,40
2019-09-14,39
2019-09-15,38
2019-09-16,40
2019-09-17,47
2019-09-18,50
2019-09-19,49
2019-09-20,53
2019-09-21,39
2019-09-22,38
2019-09-23,45
2019-09-24,57
2019-09-25,50
2019-09-26,50
2019-09-27,45
2019-09-28,49
2019-09-29,41
2019-09-30,49
