Category: All categories

Day,crypto: (Worldwide)
2017-05-01,5
2017-05-02,5
2017-05-03,6
2017-05-04,7
2017-05-05,6
2017-05-06,5
2017-05-07,6
2017-05-08,6
2017-05-09,7
2017-05-10,8
2017-05-11,7
2017-05-12,7
2017-05-13,7
2017-05-14,6
2017-05-15,8
2017-05-16,7
2017-05-17,7
2017-05-18,7
2017-05-19,7
2017-05-20,7
2017-05-21,8
2017-05-22,12
2017-05-23,11
2017-05-24,12
2017-05-25,10
2017-05-26,9
2017-05-27,8
2017-05-28,8
2017-05-29,8
2017-05-30,9
2017-05-31,11
2017-06-01,10
2017-06-02,8
2017-06-03,9
2017-06-04,9
2017-06-05,10
2017-06-06,11
2017-06-07,12
2017-06-08,9
2017-06-09,11
2017-06-10,11
2017-06-11,12
2017-06-12,15
2017-06-13,13
2017-06-14,13
2017-06-15,14
2017-06-16,12
2017-06-17,11
2017-06-18,11
2017-06-19,12
2017-06-20,13
2017-06-21,13
2017-06-22,12
2017-06-23,12
2017-06-24,11
2017-06-25,11
2017-06-26,13
2017-06-27,13
2017-06-28,12
2017-06-29,12
2017-06-30,10
2017-07-01,9
2017-07-02,10
2017-07-03,11
2017-07-04,11
2017-07-05,10
2017-07-06,10
2017-07-07,12
2017-07-08,9
2017-07-09,8
2017-07-10,11
2017-07-11,12
2017-07-12,11
2017-07-13,11
2017-07-14,9
2017-07-15,9
2017-07-16,10
2017-07-17,10
2017-07-18,11
2017-07-19,11
2017-07-20,10
2017-07-21,10
2017-07-22,7
2017-07-23,10
2017-07-24,10
2017-07-25,10
2017-07-26,10
2017-07-27,10
2017-07-28,8
2017-07-29,9
2017-07-30,8
2017-07-31,10
2017-08-01,11
2017-08-02,12
2017-08-03,10
2017-08-04,10
2017-08-05,9
2017-08-06,12
2017-08-07,12
2017-08-08,13
2017-08-09,14
2017-08-10,15
2017-08-11,15
2017-08-12,14
2017-08-13,15
2017-08-14,16
2017-08-15,16
2017-08-16,16
2017-08-17,17
2017-08-18,15
2017-08-19,13
2017-08-20,14
2017-08-21,14
2017-08-22,14
2017-08-23,17
2017-08-24,16
2017-08-25,16
2017-08-26,16
2017-08-27,15
2017-08-28,17
2017-08-29,18
2017-08-30,18
2017-08-31,19
2017-09-01,19
2017-09-02,18
2017-09-03,17
2017-09-04,21
2017-09-05,19
2017-09-06,19
2017-09-07,19
2017-09-08,19
2017-09-09,16
2017-09-10,16
2017-09-11,16
2017-09-12,18
2017-09-13,18
2017-09-14,20
2017-09-15,20
2017-09-16,15
2017-09-17,13
2017-09-18,16
2017-09-19,16
2017-09-20,13
2017-09-21,13
2017-09-22,13
2017-09-23,10
2017-09-24,10
2017-09-25,14
2017-09-26,14
2017-09-27,15
2017-09-28,15
2017-09-29,16
2017-09-30,14
2017-10-01,15
2017-10-02,15
2017-10-03,15
2017-10-04,13
2017-10-05,14
2017-10-06,14
2017-10-07,13
2017-10-08,14
2017-10-09,15
2017-10-10,14
2017-10-11,15
2017-10-12,16
2017-10-13,17
2017-10-14,15
2017-10-15,15
2017-10-16,17
2017-10-17,17
2017-10-18,16
2017-10-19,15
2017-10-20,16
2017-10-21,15
2017-10-22,13
2017-10-23,15
2017-10-24,17
2017-10-25,15
2017-10-26,17
2017-10-27,15
2017-10-28,12
2017-10-29,14
2017-10-30,15
2017-10-31,15
2017-11-01,18
2017-11-02,19
2017-11-03,19
2017-11-04,15
2017-11-05,17
2017-11-06,17
2017-11-07,18
2017-11-08,19
2017-11-09,19
2017-11-10,19
2017-11-11,17
2017-11-12,22
2017-11-13,20
2017-11-14,20
2017-11-15,21
2017-11-16,20
2017-11-17,20
2017-11-18,20
2017-11-19,18
2017-11-20,25
2017-11-21,21
2017-11-22,22
2017-11-23,21
2017-11-24,21
2017-11-25,23
2017-11-26,24
2017-11-27,31
2017-11-28,31
2017-11-29,41
2017-11-30,34
2017-12-01,33
2017-12-02,31
2017-12-03,33
2017-12-04,47
2017-12-05,51
2017-12-06,63
2017-12-07,65
2017-12-08,56
2017-12-09,51
2017-12-10,46
2017-12-11,52
2017-12-12,77
2017-12-13,73
2017-12-14,76
2017-12-15,68
2017-12-16,65
2017-12-17,75
2017-12-18,74
2017-12-19,87
2017-12-20,83
2017-12-21,83
2017-12-22,100
2017-12-23,77
2017-12-24,64
2017-12-25,64
2017-12-26,63
2017-12-27,69
2017-12-28,68
2017-12-29,75
2017-12-30,78
2017-12-31,65
