Category: All categories

Day,crypto: (Worldwide)
2015-08-01,48
2015-08-02,52
2015-08-03,56
2015-08-04,71
2015-08-05,61
2015-08-06,51
2015-08-07,68
2015-08-08,38
2015-08-09,31
2015-08-10,64
2015-08-11,69
2015-08-12,68
2015-08-13,68
2015-08-14,65
2015-08-15,39
2015-08-16,40
2015-08-17,67
2015-08-18,55
2015-08-19,65
2015-08-20,65
2015-08-21,64
2015-08-22,40
2015-08-23,49
2015-08-24,56
2015-08-25,58
2015-08-26,65
2015-08-27,61
2015-08-28,60
2015-08-29,32
2015-08-30,48
2015-08-31,47
2015-09-01,59
2015-09-02,60
2015-09-03,65
2015-09-04,58
2015-09-05,51
2015-09-06,54
2015-09-07,43
2015-09-08,64
2015-09-09,61
2015-09-10,66
2015-09-11,61
2015-09-12,49
2015-09-13,47
2015-09-14,62
2015-09-15,62
2015-09-16,67
2015-09-17,70
2015-09-18,59
2015-09-19,55
2015-09-20,41
2015-09-21,52
2015-09-22,57
2015-09-23,63
2015-09-24,59
2015-09-25,63
2015-09-26,42
2015-09-27,53
2015-09-28,49
2015-09-29,47
2015-09-30,63
2015-10-01,53
2015-10-02,47
2015-10-03,25
2015-10-04,48
2015-10-05,51
2015-10-06,69
2015-10-07,52
2015-10-08,62
2015-10-09,61
2015-10-10,47
2015-10-11,25
2015-10-12,55
2015-10-13,66
2015-10-14,59
2015-10-15,67
2015-10-16,48
2015-10-17,41
2015-10-18,50
2015-10-19,58
2015-10-20,68
2015-10-21,64
2015-10-22,73
2015-10-23,63
2015-10-24,43
2015-10-25,49
2015-10-26,72
2015-10-27,66
2015-10-28,79
2015-10-29,72
2015-10-30,69
2015-10-31,41
2015-11-01,39
2015-11-02,62
2015-11-03,78
2015-11-04,75
2015-11-05,73
2015-11-06,67
2015-11-07,78
2015-11-08,86
2015-11-09,89
2015-11-10,67
2015-11-11,79
2015-11-12,89
2015-11-13,64
2015-11-14,58
2015-11-15,71
2015-11-16,65
2015-11-17,69
2015-11-18,82
2015-11-19,90
2015-11-20,67
2015-11-21,56
2015-11-22,64
2015-11-23,82
2015-11-24,84
2015-11-25,70
2015-11-26,68
2015-11-27,55
2015-11-28,73
2015-11-29,53
2015-11-30,77
2015-12-01,80
2015-12-02,98
2015-12-03,86
2015-12-04,67
2015-12-05,61
2015-12-06,62
2015-12-07,86
2015-12-08,83
2015-12-09,93
2015-12-10,96
2015-12-11,100
2015-12-12,54
2015-12-13,63
2015-12-14,69
2015-12-15,97
2015-12-16,73
2015-12-17,61
2015-12-18,75
2015-12-19,57
2015-12-20,47
2015-12-21,61
2015-12-22,61
2015-12-23,63
2015-12-24,61
2015-12-25,50
2015-12-26,45
2015-12-27,49
2015-12-28,73
2015-12-29,67
2015-12-30,56
2015-12-31,46
2016-01-01,34
2016-01-02,53
2016-01-03,49
2016-01-04,62
2016-01-05,45
2016-01-06,72
2016-01-07,70
2016-01-08,69
2016-01-09,52
2016-01-10,49
2016-01-11,67
2016-01-12,71
2016-01-13,69
2016-01-14,67
2016-01-15,96
2016-01-16,91
2016-01-17,73
2016-01-18,99
2016-01-19,89
2016-01-20,77
2016-01-21,91
2016-01-22,64
2016-01-23,51
2016-01-24,45
2016-01-25,68
2016-01-26,70
2016-01-27,82
2016-01-28,75
2016-01-29,63
2016-01-30,61
2016-01-31,45
2016-02-01,74
2016-02-02,70
2016-02-03,68
2016-02-04,78
2016-02-05,77
2016-02-06,45
2016-02-07,47
2016-02-08,63
2016-02-09,74
2016-02-10,94
2016-02-11,80
2016-02-12,80
2016-02-13,52
2016-02-14,56
2016-02-15,77
2016-02-16,82
2016-02-17,86
2016-02-18,80
2016-02-19,83
2016-02-20,79
2016-02-21,55
2016-02-22,83
2016-02-23,72
2016-02-24,73
2016-02-25,83
2016-02-26,75
2016-02-27,52
2016-02-28,55
2016-02-29,79
2016-03-01,70
2016-03-02,87
2016-03-03,89
2016-03-04,73
2016-03-05,62
2016-03-06,73
2016-03-07,90
2016-03-08,77
2016-03-09,79
2016-03-10,70
2016-03-11,74
2016-03-12,69
2016-03-13,55
2016-03-14,79
2016-03-15,96
2016-03-16,88
2016-03-17,78
2016-03-18,71
2016-03-19,46
2016-03-20,46
2016-03-21,82
2016-03-22,87
2016-03-23,82
2016-03-24,95
2016-03-25,71
2016-03-26,67
2016-03-27,58
2016-03-28,57
2016-03-29,72
2016-03-30,76
2016-03-31,77
