Category: All categories

Day,ripple: (Worldwide)
2022-01-01,73
2022-01-02,73
2022-01-03,74
2022-01-04,67
2022-01-05,68
2022-01-06,75
2022-01-07,73
2022-01-08,71
2022-01-09,69
2022-01-10,68
2022-01-11,68
2022-01-12,68
2022-01-13,65
2022-01-14,77
2022-01-15,62
2022-01-16,71
2022-01-17,67
2022-01-18,70
2022-01-19,71
2022-01-20,73
2022-01-21,73
2022-01-22,82
2022-01-23,70
2022-01-24,68
2022-01-25,67
2022-01-26,74
2022-01-27,70
2022-01-28,64
2022-01-29,67
2022-01-30,64
2022-01-31,62
2022-02-01,74
2022-02-02,68
2022-02-03,62
2022-02-04,69
2022-02-05,64
2022-02-06,68
2022-02-07,100
2022-02-08,100
2022-02-09,81
2022-02-10,79
2022-02-11,72
2022-02-12,75
2022-02-13,70
2022-02-14,69
2022-02-15,74
2022-02-16,68
2022-02-17,80
2022-02-18,72
2022-02-19,81
2022-02-20,70
2022-02-21,64
2022-02-22,71
2022-02-23,68
2022-02-24,69
2022-02-25,70
2022-02-26,61
2022-02-27,61
2022-02-28,76
2022-03-01,85
2022-03-02,70
2022-03-03,71
2022-03-04,68
2022-03-05,68
2022-03-06,69
2022-03-07,72
2022-03-08,71
2022-03-09,71
2022-03-10,64
2022-03-11,74
2022-03-12,88
2022-03-13,68
2022-03-14,59
2022-03-15,67
2022-03-16,67
2022-03-17,65
2022-03-18,67
2022-03-19,59
2022-03-20,62
2022-03-21,79
2022-03-22,73
2022-03-23,73
2022-03-24,72
2022-03-25,68
2022-03-26,68
2022-03-27,65
2022-03-28,81
2022-03-29,74
2022-03-30,72
2022-03-31,76
