Category: All categories

Day,ripple: (Worldwide)
2016-03-01,73
2016-03-02,73
2016-03-03,57
2016-03-04,64
2016-03-05,64
2016-03-06,52
2016-03-07,55
2016-03-08,54
2016-03-09,61
2016-03-10,46
2016-03-11,63
2016-03-12,59
2016-03-13,61
2016-03-14,57
2016-03-15,67
2016-03-16,59
2016-03-17,59
2016-03-18,60
2016-03-19,47
2016-03-20,60
2016-03-21,58
2016-03-22,60
2016-03-23,49
2016-03-24,57
2016-03-25,53
2016-03-26,44
2016-03-27,54
2016-03-28,55
2016-03-29,53
2016-03-30,67
2016-03-31,52
2016-04-01,60
2016-04-02,47
2016-04-03,57
2016-04-04,60
2016-04-05,65
2016-04-06,65
2016-04-07,59
2016-04-08,62
2016-04-09,61
2016-04-10,62
2016-04-11,62
2016-04-12,59
2016-04-13,64
2016-04-14,60
2016-04-15,59
2016-04-16,58
2016-04-17,52
2016-04-18,59
2016-04-19,61
2016-04-20,62
2016-04-21,61
2016-04-22,64
2016-04-23,65
2016-04-24,57
2016-04-25,59
2016-04-26,58
2016-04-27,61
2016-04-28,63
2016-04-29,60
2016-04-30,66
2016-05-01,45
2016-05-02,70
2016-05-03,64
2016-05-04,68
2016-05-05,60
2016-05-06,54
2016-05-07,56
2016-05-08,53
2016-05-09,58
2016-05-10,57
2016-05-11,66
2016-05-12,54
2016-05-13,62
2016-05-14,56
2016-05-15,54
2016-05-16,59
2016-05-17,58
2016-05-18,56
2016-05-19,69
2016-05-20,57
2016-05-21,64
2016-05-22,69
2016-05-23,62
2016-05-24,61
2016-05-25,50
2016-05-26,67
2016-05-27,56
2016-05-28,56
2016-05-29,50
2016-05-30,56
2016-05-31,58
2016-06-01,65
2016-06-02,59
2016-06-03,53
2016-06-04,57
2016-06-05,48
2016-06-06,58
2016-06-07,53
2016-06-08,55
2016-06-09,59
2016-06-10,46
2016-06-11,49
2016-06-12,54
2016-06-13,58
2016-06-14,59
2016-06-15,65
2016-06-16,60
2016-06-17,56
2016-06-18,52
2016-06-19,50
2016-06-20,53
2016-06-21,54
2016-06-22,63
2016-06-23,59
2016-06-24,58
2016-06-25,50
2016-06-26,62
2016-06-27,58
2016-06-28,62
2016-06-29,61
2016-06-30,61
2016-07-01,63
2016-07-02,52
2016-07-03,57
2016-07-04,56
2016-07-05,58
2016-07-06,54
2016-07-07,60
2016-07-08,60
2016-07-09,43
2016-07-10,48
2016-07-11,57
2016-07-12,48
2016-07-13,52
2016-07-14,53
2016-07-15,57
2016-07-16,57
2016-07-17,48
2016-07-18,50
2016-07-19,63
2016-07-20,51
2016-07-21,50
2016-07-22,51
2016-07-23,62
2016-07-24,50
2016-07-25,55
2016-07-26,54
2016-07-27,61
2016-07-28,67
2016-07-29,63
2016-07-30,62
2016-07-31,59
2016-08-01,56
2016-08-02,60
2016-08-03,61
2016-08-04,63
2016-08-05,52
2016-08-06,48
2016-08-07,49
2016-08-08,55
2016-08-09,60
2016-08-10,61
2016-08-11,53
2016-08-12,59
2016-08-13,57
2016-08-14,52
2016-08-15,50
2016-08-16,62
2016-08-17,53
2016-08-18,58
2016-08-19,54
2016-08-20,48
2016-08-21,43
2016-08-22,59
2016-08-23,48
2016-08-24,56
2016-08-25,54
2016-08-26,54
2016-08-27,57
2016-08-28,60
2016-08-29,57
2016-08-30,58
2016-08-31,55
2016-09-01,56
2016-09-02,56
2016-09-03,53
2016-09-04,54
2016-09-05,49
2016-09-06,57
2016-09-07,62
2016-09-08,69
2016-09-09,54
2016-09-10,57
2016-09-11,55
2016-09-12,58
2016-09-13,64
2016-09-14,60
2016-09-15,100
2016-09-16,100
2016-09-17,65
2016-09-18,65
2016-09-19,67
2016-09-20,57
2016-09-21,58
2016-09-22,67
2016-09-23,68
2016-09-24,54
2016-09-25,64
2016-09-26,68
2016-09-27,62
2016-09-28,74
2016-09-29,66
2016-09-30,62
2016-10-01,44
2016-10-02,50
2016-10-03,58
2016-10-04,60
2016-10-05,55
2016-10-06,60
2016-10-07,53
2016-10-08,48
2016-10-09,50
2016-10-10,69
2016-10-11,64
2016-10-12,69
2016-10-13,65
2016-10-14,53
2016-10-15,65
2016-10-16,47
2016-10-17,57
2016-10-18,67
2016-10-19,61
2016-10-20,62
2016-10-21,57
2016-10-22,55
2016-10-23,55
2016-10-24,58
2016-10-25,71
2016-10-26,59
2016-10-27,62
2016-10-28,56
2016-10-29,50
2016-10-30,50
2016-10-31,62
