Category: All categories

Day,ripple: (Worldwide)
2017-12-01,7
2017-12-02,6
2017-12-03,6
2017-12-04,7
2017-12-05,7
2017-12-06,8
2017-12-07,9
2017-12-08,10
2017-12-09,9
2017-12-10,7
2017-12-11,10
2017-12-12,20
2017-12-13,42
2017-12-14,61
2017-12-15,53
2017-12-16,32
2017-12-17,25
2017-12-18,27
2017-12-19,31
2017-12-20,24
2017-12-21,53
2017-12-22,55
2017-12-23,29
2017-12-24,22
2017-12-25,19
2017-12-26,20
2017-12-27,31
2017-12-28,39
2017-12-29,77
2017-12-30,92
2017-12-31,47
2018-01-01,35
2018-01-02,50
2018-01-03,75
2018-01-04,100
2018-01-05,75
2018-01-06,52
2018-01-07,42
2018-01-08,57
2018-01-09,52
2018-01-10,54
2018-01-11,50
2018-01-12,36
2018-01-13,22
2018-01-14,20
2018-01-15,21
2018-01-16,38
2018-01-17,36
2018-01-18,30
2018-01-19,20
2018-01-20,16
2018-01-21,14
2018-01-22,16
2018-01-23,15
2018-01-24,14
2018-01-25,13
2018-01-26,13
2018-01-27,11
2018-01-28,11
2018-01-29,12
2018-01-30,12
2018-01-31,12
2018-02-01,14
2018-02-02,17
2018-02-03,11
2018-02-04,10
2018-02-05,13
2018-02-06,15
2018-02-07,11
2018-02-08,10
2018-02-09,11
2018-02-10,14
2018-02-11,9
2018-02-12,10
2018-02-13,9
2018-02-14,10
2018-02-15,11
2018-02-16,9
2018-02-17,9
2018-02-18,8
2018-02-19,8
2018-02-20,9
2018-02-21,8
2018-02-22,7
2018-02-23,7
2018-02-24,6
2018-02-25,5
2018-02-26,6
2018-02-27,7
2018-02-28,6
2018-03-01,6
2018-03-02,6
2018-03-03,6
2018-03-04,6
2018-03-05,11
2018-03-06,8
2018-03-07,7
2018-03-08,6
2018-03-09,7
2018-03-10,4
2018-03-11,5
2018-03-12,6
2018-03-13,6
2018-03-14,6
2018-03-15,6
2018-03-16,5
2018-03-17,5
2018-03-18,6
2018-03-19,5
2018-03-20,5
2018-03-21,5
2018-03-22,5
2018-03-23,4
2018-03-24,4
2018-03-25,4
2018-03-26,5
2018-03-27,5
2018-03-28,6
2018-03-29,5
2018-03-30,5
2018-03-31,4
2018-04-01,4
2018-04-02,5
2018-04-03,5
2018-04-04,5
2018-04-05,5
2018-04-06,4
2018-04-07,4
2018-04-08,4
2018-04-09,4
2018-04-10,4
2018-04-11,4
2018-04-12,5
2018-04-13,7
2018-04-14,4
2018-04-15,4
2018-04-16,4
2018-04-17,5
2018-04-18,5
2018-04-19,6
2018-04-20,9
2018-04-21,6
2018-04-22,5
2018-04-23,6
2018-04-24,7
2018-04-25,6
2018-04-26,5
2018-04-27,4
2018-04-28,4
2018-04-29,4
2018-04-30,4
2018-05-01,4
2018-05-02,4
2018-05-03,5
2018-05-04,5
2018-05-05,4
2018-05-06,4
2018-05-07,4
2018-05-08,5
2018-05-09,4
2018-05-10,4
2018-05-11,4
2018-05-12,4
2018-05-13,4
2018-05-14,4
2018-05-15,4
2018-05-16,4
2018-05-17,4
2018-05-18,3
2018-05-19,3
2018-05-20,3
2018-05-21,3
2018-05-22,4
2018-05-23,5
2018-05-24,5
2018-05-25,4
2018-05-26,3
2018-05-27,3
2018-05-28,3
2018-05-29,4
2018-05-30,4
2018-05-31,3
2018-06-01,3
2018-06-02,3
2018-06-03,4
2018-06-04,4
2018-06-05,4
2018-06-06,4
2018-06-07,4
2018-06-08,3
2018-06-09,3
2018-06-10,3
2018-06-11,4
2018-06-12,3
2018-06-13,4
2018-06-14,3
2018-06-15,4
2018-06-16,3
2018-06-17,3
2018-06-18,3
2018-06-19,3
2018-06-20,3
2018-06-21,3
2018-06-22,3
2018-06-23,3
2018-06-24,3
2018-06-25,3
2018-06-26,3
2018-06-27,3
2018-06-28,3
2018-06-29,3
2018-06-30,3
2018-07-01,3
2018-07-02,3
2018-07-03,3
2018-07-04,3
2018-07-05,3
2018-07-06,3
2018-07-07,2
2018-07-08,3
2018-07-09,3
2018-07-10,3
2018-07-11,2
2018-07-12,3
2018-07-13,3
2018-07-14,3
2018-07-15,2
2018-07-16,3
2018-07-17,3
2018-07-18,3
2018-07-19,3
2018-07-20,3
2018-07-21,3
2018-07-22,3
2018-07-23,3
2018-07-24,3
2018-07-25,3
2018-07-26,3
2018-07-27,3
2018-07-28,2
2018-07-29,2
2018-07-30,3
2018-07-31,3
